unix_date,date,case_tool_54,failed,failed_tools
1540298755,2018-10-23 08:45:00,1,,
1540298934,2018-10-23 08:48:00,1,,
1540299114,2018-10-23 08:51:00,1,,
1540299293,2018-10-23 08:54:00,1,,
1540299472,2018-10-23 08:57:00,1,,
1540299651,2018-10-23 09:00:00,1,,
1540299830,2018-10-23 09:03:00,1,,
1540300010,2018-10-23 09:06:00,1,,
1540300188,2018-10-23 09:09:00,1,,
1540300368,2018-10-23 09:12:00,1,,
1540300547,2018-10-23 09:15:00,1,,
1540300726,2018-10-23 09:18:00,1,,
1540300905,2018-10-23 09:21:00,1,,
1540301084,2018-10-23 09:24:00,1,,
1540301263,2018-10-23 09:27:00,1,,
1540301442,2018-10-23 09:30:00,1,,
1540301622,2018-10-23 09:33:00,1,,
1540301801,2018-10-23 09:36:00,1,,
1540301980,2018-10-23 09:39:00,1,,
1540302159,2018-10-23 09:42:00,1,,
1540302338,2018-10-23 09:45:00,1,,
1540302517,2018-10-23 09:48:00,1,,
1540302696,2018-10-23 09:51:00,1,,
1540302875,2018-10-23 09:54:00,1,,
1540303054,2018-10-23 09:57:00,1,,
1540303233,2018-10-23 10:00:00,1,,
1540303412,2018-10-23 10:03:00,1,,
1540303591,2018-10-23 10:06:00,1,,
1540303770,2018-10-23 10:09:00,1,,
1540303949,2018-10-23 10:12:00,1,,
1540304128,2018-10-23 10:15:00,1,,
1540304308,2018-10-23 10:18:00,1,,
1540304487,2018-10-23 10:21:00,1,,
1540304666,2018-10-23 10:24:00,1,,
1540304845,2018-10-23 10:27:00,1,,
1540305024,2018-10-23 10:30:00,1,,
1540305203,2018-10-23 10:33:00,1,,
1540305382,2018-10-23 10:36:00,1,,
1540305561,2018-10-23 10:39:00,1,,
1540306042,2018-10-23 10:47:00,1,,
1540306221,2018-10-23 10:50:00,1,,
1540306400,2018-10-23 10:53:00,1,,
1540306579,2018-10-23 10:56:00,1,,
1540306758,2018-10-23 10:59:00,1,,
1540306937,2018-10-23 11:02:00,1,,
1540307116,2018-10-23 11:05:00,1,,
1540307295,2018-10-23 11:08:00,1,,
1540307474,2018-10-23 11:11:00,1,,
1540307653,2018-10-23 11:14:00,1,,
1540307833,2018-10-23 11:17:00,1,,
1540308011,2018-10-23 11:20:00,1,,
1540308190,2018-10-23 11:23:00,1,,
1540308369,2018-10-23 11:26:00,1,,
1540308548,2018-10-23 11:29:00,1,,
1540308727,2018-10-23 11:32:00,1,,
1540308906,2018-10-23 11:35:00,1,,
1540309085,2018-10-23 11:38:00,1,,
1540309264,2018-10-23 11:41:00,1,,
1540309443,2018-10-23 11:44:00,1,,
1540309622,2018-10-23 11:47:00,1,,
1540309801,2018-10-23 11:50:00,1,,
1540309980,2018-10-23 11:53:00,1,,
1540310158,2018-10-23 11:55:00,1,,
1540310337,2018-10-23 11:58:00,1,,
1540310516,2018-10-23 12:01:00,1,,
1540310723,2018-10-23 12:05:00,1,,
1540310902,2018-10-23 12:08:00,1,,
1540311081,2018-10-23 12:11:00,1,,
1540311260,2018-10-23 12:14:00,1,,
1540311439,2018-10-23 12:17:00,1,,
1540311618,2018-10-23 12:20:00,1,,
1540311797,2018-10-23 12:23:00,1,,
1540311976,2018-10-23 12:26:00,1,,
1540312155,2018-10-23 12:29:00,1,,
1540312334,2018-10-23 12:32:00,1,,
1540312513,2018-10-23 12:35:00,1,,
1540312692,2018-10-23 12:38:00,1,,
1540312870,2018-10-23 12:41:00,1,,
1540313049,2018-10-23 12:44:00,1,,
1540313228,2018-10-23 12:47:00,1,,
1540313407,2018-10-23 12:50:00,1,,
1540313587,2018-10-23 12:53:00,1,,
1540313766,2018-10-23 12:56:00,1,,
1540313945,2018-10-23 12:59:00,1,,
1540314124,2018-10-23 13:02:00,1,,
1540314303,2018-10-23 13:05:00,1,,
1540314482,2018-10-23 13:08:00,1,,
1540314661,2018-10-23 13:11:00,1,,
1540314840,2018-10-23 13:14:00,1,,
1540315019,2018-10-23 13:16:00,1,,
1540315198,2018-10-23 13:19:00,1,2,57
1540315377,2018-10-23 13:22:00,1,3,57
1540315794,2018-10-23 13:29:00,1,2,57
1540316136,2018-10-23 13:35:00,1,2,57
1540316477,2018-10-23 13:41:00,1,2,57
1540316837,2018-10-23 13:47:00,1,,
