metric,measure,k_fold_i,"current__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)__4","current__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4__6",current__fourier_entropy__bins_100__3,"current__fft_coefficient__attr_""imag""__coeff_58__0",current__partial_autocorrelation__lag_0__4,"current__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""__3","current__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)__6",current__quantile__q_0.4__4,"current__fft_coefficient__attr_""angle""__coeff_70__5","current__fft_coefficient__attr_""angle""__coeff_23__5"
accuracy,mean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,0,0.20626701376926182,0.09739837413005753,0.23332452575726287,0.18787726486294484,0.0,0.2422934747128192,0.2627474191385305,0.3719183053074071,0.27033857220577323,0.27245376162571816
average_precision,std,0,0.0696135350665026,0.029652333316139916,0.043292612993414,0.08060906711789348,0.0,0.05351701163832084,0.04554996009343307,0.044718453040201764,0.07415524356916518,0.04974588848357835
balanced_accuracy,mean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,1,0.2507753967907777,0.3051244713107649,0.45928582626969644,0.28918381937650295,0.0,0.31444853138387957,0.23103486729783326,0.32214657716125383,0.3504696943955478,0.20288598332154933
average_precision,std,1,0.05650185217903899,0.058386156358855,0.05883422460772254,0.0665903797444083,0.0,0.08510831913472482,0.08214994394164982,0.0885576972396223,0.07658199654651225,0.06399491707245715
balanced_accuracy,mean,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,2,0.19213960506113173,0.014368956826059024,0.04846639035397703,0.08597727247489734,0.0,0.1991357788581683,0.1124625565248583,0.20388429615921128,0.07100337981496414,0.05890492432543469
average_precision,std,2,0.048153767793045914,0.023042072538735327,0.05933782495036547,0.05038887049650959,0.0,0.035745495023453776,0.05383064480204263,0.034749426872435873,0.05886468742887736,0.03909675013607371
balanced_accuracy,mean,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
