metric,measure,k_fold_i,current__index_mass_quantile__q_0.1__4,current__partial_autocorrelation__lag_3__5,"current__fft_coefficient__attr_""real""__coeff_57__5","current__fft_coefficient__attr_""abs""__coeff_87__6","current__fft_coefficient__attr_""abs""__coeff_35__1","current__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0__5","current__fft_coefficient__attr_""real""__coeff_4__5",current__large_standard_deviation__r_0.15000000000000002__6,"current__fft_coefficient__attr_""abs""__coeff_28__1","current__fft_coefficient__attr_""abs""__coeff_46__1"
accuracy,mean,0,0.044986876640419914,0.017217847769028856,0.009081364829396314,0.026876640419947508,0.0050918635170603575,0.0005774278215223176,0.013700787401574798,0.0,0.009501312335957997,-0.0005249343832021136
accuracy,std,0,0.005281006869513129,0.003496236389574111,0.003466554746687474,0.006219087966244572,0.003193482661260913,0.001377890262299933,0.004228573726644892,0.0,0.0022815027624252656,0.0011011116516222352
f1,mean,0,0.6573116308195303,0.22434119622814974,0.10388945269047192,0.37771328471864485,0.057436603028922284,0.006304764530571053,0.15595341989603131,0.0,0.11249934848934075,-0.004692252192252137
f1,std,0,0.09495676637756945,0.05054958342791369,0.04018219537417836,0.09791396704888963,0.03634127150830429,0.01418393069620404,0.05233677354910855,0.0,0.027270847226096216,0.010748837283902584
average_precision,mean,0,0.5530667024100872,0.12237898754486591,0.05777335611722923,0.21459600987125926,0.021424392214036705,0.00655399643732267,0.14287359633403238,0.0,0.06192792306833928,0.004822218017772521
average_precision,std,0,0.07555183116010065,0.03629081265509864,0.030721379750402348,0.06712887613776117,0.01233517621133217,0.0062498806765952045,0.050348130526495276,0.0,0.017587422095838422,0.005769793906598976
balanced_accuracy,mean,0,0.3939373709321371,0.19368546606850398,0.09709107740511293,0.2752688172043012,0.06031118706829031,0.008464181442711676,0.1245113223670157,0.0,0.11159296446628222,0.0027843053478601573
balanced_accuracy,std,0,0.04136769951256882,0.031465665316532936,0.027719292668925043,0.0529221695756719,0.02945335873845624,0.011648959927996878,0.03866760074346273,0.0,0.02200108721776373,0.006482096624085971
accuracy,mean,1,0.04298745724059293,0.0021284682630178502,0.00440896997339411,0.004142911440516898,0.0004561003420752348,0.001102242493348508,0.01919422272900036,0.0,-0.0004941087039148825,0.0035727860129228166
accuracy,std,1,0.005664266180904695,0.004222864131457598,0.001091045237127116,0.0027537051595104525,0.0021554461237184115,0.002846570025595254,0.003994496196977959,0.0,0.0017086861872283553,0.0025957234631644025
f1,mean,1,0.5242176056957237,0.0815476826755361,0.06574797799589659,0.1719187179756285,0.005829013633966333,0.019081105114466607,0.41508695493762615,0.0,-0.0002112137933256264,0.07755264629910122
f1,std,1,0.040164813801621554,0.08227300260008649,0.017786028580762024,0.0650647715507183,0.031195794386024742,0.04477507713508486,0.06489827342625075,0.0,0.03199037507103071,0.04591607727779167
average_precision,mean,1,0.5945376824024026,0.13647083294666745,0.09310572376234219,0.33110062165756865,0.05036613187725938,0.04999695958585017,0.6059462611004479,-0.000870370370370388,0.0572340415558151,0.12639392589856374
average_precision,std,1,0.08529358649474601,0.07591128583703292,0.03500843071799782,0.08666968100351469,0.025748701682917093,0.039574142498157855,0.1107936380632223,0.0019651455371466555,0.03202673791902565,0.07107166542950072
balanced_accuracy,mean,1,0.32210621294147984,0.10480149523072961,0.01425238463521528,0.18989301366331535,0.0013237947924722919,0.012570250064449617,0.29799303944315547,0.0,0.018308842485176603,0.05968161897396236
balanced_accuracy,std,1,0.04355657649862434,0.05215689004791111,0.015971480742038,0.042950788349131026,0.005938259156038512,0.016141562472138066,0.051470377047493236,0.0,0.022120907226546135,0.03799446253365122
accuracy,mean,2,0.01859592711682746,0.002733118971061114,0.000482315112540214,-0.001768488745980686,0.0036977491961415125,0.004126473740621691,0.019399785637727793,0.0,0.005251875669882141,0.002840300107181178
accuracy,std,2,0.0051628052965171905,0.0028503936006371447,0.002461085209690265,0.002603972264363615,0.0027582227722310476,0.003233692356172693,0.004676832632212522,0.0,0.002688089218431821,0.002062366710063674
f1,mean,2,0.41630800712900656,0.03220801427476657,0.007845821530032082,-0.019398467664721544,0.04293393206967563,0.18582914130115535,0.5068128031909626,0.0,0.06020287222723266,0.03368278024247219
f1,std,2,0.08024235167916026,0.03320115170230263,0.03426644201570937,0.03909014486863443,0.031076535006235913,0.0799549321817807,0.09270076292845428,0.0,0.028668132516707523,0.024316727698100466
average_precision,mean,2,0.7772478938336268,0.0600204875983844,0.05055087966459983,0.10229430082337757,0.010869300711737532,0.3374928341587065,0.6233232493843344,0.0,0.02256250688636788,0.009371137343826282
average_precision,std,2,0.08567498374830321,0.0479342019964591,0.01750172277223652,0.05221380470249829,0.007308305761899517,0.09006120966911468,0.08512720460253474,0.0,0.01685734130929918,0.009405772648001623
balanced_accuracy,mean,2,0.3119086779448622,0.0025610902255639406,0.007225093984962397,0.013052161654135334,0.0018914473684210917,0.2196036967418546,0.37396224937343353,0.0,0.002686403508771973,0.0014528508771930238
balanced_accuracy,std,2,0.05071075806510407,0.006325785530581136,0.01462788804418832,0.017651066290021087,0.001410867240401086,0.0502859708028622,0.05100531888752085,0.0,0.0013749930048228523,0.001054927708601667
accuracy,mean,3,0.041818181818181754,0.012808080808080775,0.002464646464646399,0.023959595959595896,0.0056565656565655854,0.00484848484848478,0.023757575757575696,0.0,0.0077171717171716555,0.0033131313131312345
accuracy,std,3,0.004500110531581358,0.0030613893720427775,0.002156607053750688,0.004411447760051049,0.002891077789090647,0.002764061636603968,0.004111694297602778,0.0,0.0030421317954070605,0.0025412824555178
f1,mean,3,0.4314309641393704,0.1526141303118263,0.02488712880298282,0.26932127329519584,0.05528987411784993,0.04509274169984951,0.2072915738545581,0.0,0.07791779190979756,0.02979668960980382
f1,std,3,0.056193594887482864,0.034825625516142496,0.01973720128355749,0.04949880596305872,0.027566629438465103,0.02454294259141928,0.03915049347074352,0.0,0.030318014786669144,0.021846975039196283
average_precision,mean,3,0.4998453295426288,0.106198051658605,0.03015875585983741,0.23225947463320304,0.03822398423791112,0.03524409357561198,0.2653396341577908,0.0,0.05431374340932426,0.048606641122336924
average_precision,std,3,0.05627596934148895,0.023003308436456538,0.008651367598160355,0.03986739197227309,0.012262720770045102,0.00838611132337407,0.04630547448383079,0.0,0.017510182803856435,0.014479846555138726
balanced_accuracy,mean,3,0.274445155783184,0.15582052923602224,0.02989756722151094,0.20889351259069575,0.051600512163892526,0.036875800256082024,0.1183525394793001,0.0,0.07342082799829283,0.021766965428937322
balanced_accuracy,std,3,0.034541483422931576,0.02120569631893537,0.015277998749903546,0.027128156586813827,0.020173590794299104,0.015642204231468674,0.029058788048457945,0.0,0.02486421732133946,0.01438942624662198
accuracy,mean,4,0.042465069860279446,0.003343313373253513,0.00638722554890222,0.009081836327345327,0.0029441117764471116,0.0013473053892215647,0.018463073852295432,0.0,0.007684630738522976,0.0008483033932135712
accuracy,std,4,0.0037371884916871743,0.0034503381063997187,0.0029164948495414024,0.003902438083037355,0.0024287611823628815,0.0024246568090332096,0.0038133678991103355,0.0,0.0038986077813621934,0.0019203474455981857
f1,mean,4,0.7138522051714495,0.057589246531378493,0.07376652733449364,0.13111879485745087,0.03228750357240968,0.020569225402780743,0.3465077695515246,0.0,0.08515652848724026,0.009638747284159914
f1,std,4,0.0648785484579874,0.04258376321408323,0.033594431380253836,0.052436362151378986,0.024256946798553614,0.025242947464588814,0.0804993838356826,0.0,0.042077896373113814,0.019025923637820213
average_precision,mean,4,0.7140070889116986,0.09327331620259198,0.06897437538961575,0.20788356425029236,0.030595631308480354,0.055073541801138486,0.3092587992082649,0.0,0.0753691136170397,0.026067837717069324
average_precision,std,4,0.0526538419429149,0.0415831825845775,0.016405644681947346,0.05105847183414869,0.014988017679319225,0.02112008594914715,0.052442323402343595,0.0,0.0258182882083528,0.00927842485227099
balanced_accuracy,mean,4,0.41098310291858675,0.08461116456508165,0.058587802366604186,0.12751472797555746,0.02507131885012067,0.03241758241758242,0.27411083540115805,0.0,0.0608024847656184,0.00913978494623655
balanced_accuracy,std,4,0.025320355398512993,0.028246475367002068,0.024645693009375573,0.034965000232421835,0.014529575340549506,0.018404904743009598,0.038740412586569795,0.0,0.027419772735726128,0.011642874788339766
accuracy,mean,5,0.05497000856898029,0.010711225364181646,0.01666666666666664,0.0148243359040274,0.010025706940874023,0.01589545844044558,0.033461868037703485,-8.568980291345785e-05,0.011225364181662367,0.011011139674378738
accuracy,std,5,0.006134605944372585,0.0034382866577101563,0.0034725521710286473,0.003706517352850411,0.002704324565220132,0.0034085266672148743,0.004556288866356181,0.0003206218840423428,0.0031472780929232154,0.003705774390088892
