metric,measure,k_fold_i,current__count_above_mean__5,"current__fft_coefficient__attr_""angle""__coeff_22__4","current__fft_coefficient__attr_""abs""__coeff_8__5",current__lempel_ziv_complexity__bins_3__3,"current__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""__3","current__fft_coefficient__attr_""real""__coeff_5__4","current__fft_coefficient__attr_""abs""__coeff_8__3","current__fft_coefficient__attr_""imag""__coeff_41__4","current__fft_coefficient__attr_""imag""__coeff_23__5","current__fft_coefficient__attr_""abs""__coeff_34__6"
accuracy,mean,0,0.005984251968503925,-0.01286089238845145,-0.005511811023622056,0.0027296587926509243,0.02614173228346456,-0.0049868766404199604,-0.006561679790026254,0.00031496062992126075,0.0007349081364829591,0.0006299212598425364
accuracy,std,0,0.00276974403323316,0.004168190557712402,0.00316923020433042,0.0010706602653213,0.004923201716616625,0.0026689183871676948,0.00385924961169822,0.0014318300994210942,0.0008846351467901922,0.0007714928323726749
f1,mean,0,0.016447875998213058,-0.022915345742240547,2.4192630691749485e-05,0.007735160541507883,0.32348299421403404,-0.003384145179281761,-0.0033648360391153377,0.0008659683041681521,0.0021040349292381745,0.0018066847335139967
f1,std,0,0.007182214711331986,0.024871304719888406,0.015644464039223968,0.0029708079666653513,0.028219424966852258,0.012492708806392042,0.022367333252834208,0.004133214378699323,0.0025471216948136895,0.002212727861592747
average_precision,mean,0,0.08027489027851731,0.021163221560150935,0.026946301026687526,-0.025901590349259207,0.3108241684118457,0.04550807187674479,0.023053678740232047,-0.005160337288160845,-0.029032416829652512,0.010144005897243945
average_precision,std,0,0.03690041884137871,0.04724911527379351,0.037248192417786534,0.024342343648696543,0.008000433647607892,0.03171004028932562,0.03331811620607558,0.03174529888304913,0.024832894458202713,0.005815402083685371
balanced_accuracy,mean,0,0.003145695364238336,0.010580894395784328,0.012913907284768152,0.0014348785871964272,0.21775795770134582,0.008599480168055203,0.012362030905077181,0.00016556291390726157,0.00038631346578364977,0.0003311258278145601
balanced_accuracy,std,0,0.00145594988501908,0.014019237990919834,0.010992975882828548,0.0005628056858270022,0.01695302321225882,0.007306349412482967,0.01430400597050059,0.0007526590340499992,0.0004650193031554246,0.0004055446594011769
accuracy,mean,1,-0.0055872291904219456,0.013683010262257649,0.05914101102242486,-0.003648802736602123,0.07373622196883307,0.05191942227289999,0.09859369061193456,-0.006081337894336829,-0.008171797795515082,0.005397187381223815
accuracy,std,1,0.010076231065046926,0.0035937504077758345,0.005878899673427682,0.003349052188811974,0.009464005775742105,0.009120739808115928,0.006326308862504963,0.0013913344901347738,0.0026015606170501785,0.003210750601587664
