metric,measure,k_fold_i,current__permutation_entropy__dimension_7__tau_1__2,"current__fft_coefficient__attr_""angle""__coeff_23__4","current__fft_coefficient__attr_""imag""__coeff_47__5","current__fft_coefficient__attr_""abs""__coeff_11__4","current__fft_coefficient__attr_""abs""__coeff_9__2","current__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4__2","current__fft_coefficient__attr_""imag""__coeff_50__3",id__3,"current__fft_coefficient__attr_""abs""__coeff_35__2","current__fft_coefficient__attr_""imag""__coeff_22__4"
accuracy,mean,0,-0.017270341207349042,-0.01160104986876637,-0.0013123359580052175,0.03154855643044622,0.0029921259842519993,-0.002099737532808362,0.004409448818897673,0.017427821522309744,-0.0012073490813647946,-0.012125984251968465
accuracy,std,0,0.0060921795777112335,0.00524645589851315,0.0015791715439885876,0.005552654570118382,0.007023339565662287,0.0013688613974178867,0.004589499841342649,0.012399567947164462,0.0032448418814751867,0.005113464477407131
f1,mean,0,0.008139958736785552,-0.0170917654812181,-0.0018530932020357363,0.11484469850996738,0.021694452391646735,-0.0029625113201334394,0.0066941895203805005,0.10386538282159785,-0.0012425026875157472,-0.017886727450901474
f1,std,0,0.01894883862278657,0.008063625772355611,0.002229608692044374,0.020240054951325172,0.015347825999464175,0.001942444857100571,0.007130234721411012,0.03265593594511049,0.005263362287122951,0.007879235672138092
average_precision,mean,0,0.43350114567030423,0.1763273878465473,0.02531859607121161,0.4208351202400206,0.4884864242401932,0.01110363939436021,0.046518954606536725,0.48575699156989594,0.11794679925605052,0.16072687434593066
average_precision,std,0,0.07359436046837647,0.05540706888877746,0.032662926268297185,0.05473945299828739,0.06645740375660629,0.015845981702548466,0.0334397910843288,0.07706829307178233,0.05965044205201329,0.04702653727739825
balanced_accuracy,mean,0,0.05467670725628431,-0.006098233995584923,-0.000689845474613667,0.16194545325072998,0.03676564836573388,-0.001103752759381867,0.003848002563554857,0.1611532436089155,0.0003854233425906406,-0.006374172185430412
balanced_accuracy,std,0,0.025596956859848516,0.002757863820824385,0.0008301108695635154,0.031142867553493186,0.021626738792094154,0.0007195587643711327,0.00569780927363266,0.04041639938309161,0.00442905667986721,0.002687955250954912
accuracy,mean,1,0.0016723679209426523,0.000874192322310933,0.0,0.10744963892056256,0.002888635499810014,0.0,0.0,0.15792474344355764,0.0,0.005587229190421924
accuracy,std,1,0.0013078411656469342,0.001089057300030003,0.0,0.006769437562118103,0.0013405695240249656,0.0,0.0,0.008200034304385423,0.0,0.0020890773217272945
f1,mean,1,0.042585450602528434,0.02252422229889025,0.0,0.7638415526918957,0.07200135674993365,0.0,0.0,0.8894356006311384,0.0,0.13817327563600515
f1,std,1,0.03206159118939863,0.027667116528457675,0.0,0.024568241928934986,0.03163952220256957,0.0,0.0,0.025498198650369983,0.0,0.047382918495905146
average_precision,mean,1,0.026990968907635592,0.01879094362427696,0.011934707268040624,0.2201351358734827,0.0371317879651213,0.018011389844723166,0.009197006697006693,0.913259162869588,0.00591879725213057,0.06515864449560103
average_precision,std,1,0.026816295928530118,0.02315193726555317,0.010411897460995016,0.0944568569304964,0.024351538349107384,0.011642838322334483,0.012108527450455852,0.04099867149477629,0.010822665811681753,0.06687662824526991
balanced_accuracy,mean,1,0.0008507347254447462,0.0004447022428461215,0.0,0.1474606857437485,0.001469450889404537,0.0,0.0,0.3772995617427173,0.0,0.029044856921887147
balanced_accuracy,std,1,0.0006652997112948823,0.0005540042065698016,0.0,0.04647439977096286,0.0006819486499825427,0.0,0.0,0.06646159104045808,0.0,0.028781003724717525
accuracy,mean,2,0.033118971061093246,-0.004930332261521971,0.003161843515541237,0.0834405144694534,0.005841371918542337,-0.0003215434083601254,-0.0002143622722400836,0.07486602357984996,-0.0006966773847802717,0.024598070739549845
accuracy,std,2,0.006425506875593504,0.0035693088543079818,0.0017846544271539774,0.008470192299716673,0.0048673100555882256,0.0018283732164235595,0.0019792267216097756,0.010139952939330356,0.001977048954522672,0.004896723606221802
f1,mean,2,0.21753487033992325,-0.05439351173898082,0.029403676957993913,0.47536572705070895,0.05030856161660636,-0.003684720145298733,-0.000995783066117754,0.5467301144474325,-0.007542434246915282,0.17658875973607696
f1,std,2,0.029047323475270913,0.04161191244788686,0.016524144236223306,0.044336775928038044,0.0418680886869074,0.018198721603432482,0.02238463709557003,0.054991044413156394,0.020034537737025754,0.02682674122550885
average_precision,mean,2,0.010688458632952102,0.03785021548460664,-0.0028458049886622263,0.5842904551457017,0.053025730494217764,0.01087511694654536,0.023815377355293186,0.835106225257404,0.004259998871343321,0.02883023928370597
average_precision,std,2,0.009721907924582891,0.03289277979293325,0.0026702786480952796,0.10221120129102965,0.039788116656463375,0.009762210673637558,0.021544786572559493,0.08937147410155408,0.005231537922439026,0.022470971495989568
balanced_accuracy,mean,2,0.01694078947368422,-0.001358865914786948,0.0016173245614034806,0.2590108082706767,0.0029879385964912426,-0.0001644736842104903,0.0033795426065163243,0.3837249373433584,-0.00035635964912276904,0.012582236842105276
balanced_accuracy,std,2,0.003286731313009176,0.006385668668425725,0.0009128742217843262,0.06795595330101384,0.002489693136986741,0.0009352369577429469,0.01090926188992425,0.06636827032166501,0.0010112865540403636,0.002504738555156243
accuracy,mean,3,0.006141414141414181,-0.00028282828282827723,0.0031111111111111313,0.14424242424242426,0.002383838383838399,0.0015757575757575858,0.017858585858585872,0.044444444444444495,0.009858585858585922,0.01919191919191923
accuracy,std,3,0.0030332645461209826,0.00123942316365074,0.0006006492423159031,0.007412792655234261,0.002201556804173796,0.0008368612192811359,0.0018231134016449978,0.0069160576842923985,0.001763024180143157,0.0050083085747709664
f1,mean,3,0.06522861577462856,-0.0018872265224560054,0.02336464299350894,0.5476929061814393,0.019695560404972383,0.011953269280220714,0.12120326739771646,0.48511387827684693,0.07295346932757432,0.1724606716690035
f1,std,3,0.030715665052829445,0.009856874056052714,0.004404761110316622,0.020275988276341254,0.01728329786230612,0.006337362743203315,0.01178438561014271,0.0753288518070906,0.012963087636515942,0.04486654616001046
average_precision,mean,3,0.11921284498554008,0.044332563716511654,0.006509961251069348,0.3376870973870934,0.04995310751511631,0.025974728194005637,0.04634599439181205,0.578515480612013,0.05530313460540886,0.2062610106234769
average_precision,std,3,0.04016204821723634,0.014190952300079497,0.006432298451574918,0.059298662960722996,0.02102050695406963,0.00966392173021999,0.02231760097477385,0.07732208314775216,0.022129533280704407,0.05455801516091174
balanced_accuracy,mean,3,0.07151621852326069,0.001995305164319191,0.0016431924882628049,0.16304417413572336,0.009837814767392157,0.0008322663252240144,0.01407917200170714,0.3155089628681177,0.014858087921468125,0.11272407170294484
balanced_accuracy,std,3,0.02555572687790509,0.004514793626104863,0.00031724431812457426,0.023208241335566458,0.010292320621104377,0.00044200416511325696,0.0075163299583004975,0.03940074235600808,0.008016322283475256,0.03019105478770447
accuracy,mean,4,0.07709580838323353,0.0018463073852295249,0.0011976047904191489,0.19436127744510973,0.006337325349301378,0.0011976047904191489,0.0009481037924151596,0.0741516966067864,0.0014471057884231384,0.16791417165668662
accuracy,std,4,0.007472544476982003,0.0014811199680295224,0.0005988023952095743,0.009617284512054911,0.003317894253468928,0.000712717408038201,0.0008184241250926423,0.004334141866388919,0.001309820833174306,0.011557579983244897
f1,mean,4,0.40807088224684607,0.016263143234933778,0.01085481682496594,0.6723914530617835,0.059996092404910516,0.01106750629138676,0.008579480221271148,0.42770396864784477,0.012970488177572867,0.5886001442004247
f1,std,4,0.025400828505170107,0.013740049414251516,0.0054274084124829695,0.022879942983986844,0.030941059279208503,0.00681043113736306,0.007459846782805172,0.022523680929450247,0.011655717413479883,0.018686127861097947
average_precision,mean,4,0.12576465971631887,0.010245423412140823,0.0025112233952508944,0.48096582521928055,0.032817551936695395,0.00014460578663311925,0.009572317769484787,0.5638355129966571,0.007842137121618749,0.24227735057060126
average_precision,std,4,0.029592678091530208,0.012210945307266328,0.0027166512833278335,0.06907535124735831,0.01888334174162076,0.004270091014122787,0.006356261713005297,0.042043464304791126,0.005867297656576647,0.07273591164691806
balanced_accuracy,mean,4,0.05934825543120469,-0.0005663307506626506,0.0006279434850862131,0.23898398068904972,0.023270201380800395,0.0016508836785333325,0.0004971219256932446,0.10383686973548718,0.0007587650444792482,0.12179993585523534
balanced_accuracy,std,4,0.013194291364852428,0.007652758368512939,0.0003139717425431066,0.03672570063914665,0.016011261683312003,0.003989167279263193,0.0004291266213200993,0.021018793084677422,0.0006867820381164827,0.021104563442540976
accuracy,mean,5,0.002185089974293053,0.0024421593830334376,0.0,0.012339331619537253,0.0016281062553555954,0.0,0.0002570694087403513,0.10407026563838902,0.0,0.011782347900599798
accuracy,std,5,0.0012483977964296085,0.00038560411311056026,0.0,0.002748760056957229,0.0013656707326914516,0.0,0.0006961472497545783,0.00882116069948187,0.0,0.003969806130213712
f1,mean,5,0.028575639788431886,0.028753840245775764,0.0,0.1731411051931003,0.020493569511946055,0.0,0.0034940808926414197,0.8043102211768745,0.0,0.13015550208936444
f1,std,5,0.016437779013881444,0.004464285714285698,0.0,0.04086186840754366,0.017411043256751142,0.0,0.009238321664653961,0.04362885454777428,0.0,0.041559123988776085
average_precision,mean,5,0.026978963301992506,0.024261042486826482,0.002842552964932262,0.11965857489457363,0.037007359197659344,0.0037592853731816646,0.014383527462579175,0.8630415454367532,0.009644778295737629,0.04857315313848263
average_precision,std,5,0.012194846745019128,0.007894323071570838,0.002010352181141958,0.028025486313285962,0.015735851873029765,0.0032196574137599416,0.008443944352915246,0.028586424187149496,0.007509395086691502,0.02826605943359238
balanced_accuracy,mean,5,0.02300059417706478,0.0012700534759358284,0.0,0.12533719548425432,0.010978906714200836,0.0,0.004399881164587053,0.405016339869281,0.0,0.02852495543672013
balanced_accuracy,std,5,0.013945704375961201,0.00020053475935830623,0.0,0.03212637836577036,0.012627965440382864,0.0,0.009502447183509346,0.03564055800285473,0.0,0.02076615163610132
accuracy,mean,6,-0.00028011204481787435,-0.006834733893557399,-0.0005042016806722338,0.06985994397759111,-0.013837535014005553,0.0001680672268908001,0.005098039215686364,0.10050420168067233,-0.0004481792717086449,-0.0347899159663865
accuracy,std,6,0.0059513098393672425,0.0029728849661448857,0.0019479371037214577,0.008161024886948452,0.005036099858368409,0.002227551299951974,0.003021576820204321,0.011352523385089384,0.002564823113111428,0.007752376013274102
