metric,measure,k_fold_i,current__autocorrelation__lag_9__4,"current__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""__3",current__index_mass_quantile__q_0.1__3,"current__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""__4","current__fft_coefficient__attr_""imag""__coeff_25__6",id__5,"current__fft_coefficient__attr_""abs""__coeff_70__6","current__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""__3",current__partial_autocorrelation__lag_1__5,current__index_mass_quantile__q_0.8__6
accuracy,mean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,0,0.4318968969353716,0.23516822835195486,0.0755508533298075,0.003103732284418607,0.000747020252918377,0.0010109261399345907,0.0008293444195441646,0.18702554646651096,0.11498576933452889,0.08682464795270972
average_precision,std,0,0.046484979146302285,0.05382864313080927,0.028998081035514673,0.004759020709122119,0.002113590759487729,0.0017707562121127205,0.0020340356232787225,0.05922643551509479,0.06490396443140412,0.042373029852525564
balanced_accuracy,mean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,1,-0.12185480805777267,-0.06031927023945263,0.005359179019384304,-0.10053211706575443,0.00091220068415054,0.008247814519194267,0.008323831242873475,-0.028126187761307445,0.03489167616875718,0.010604332953249761
accuracy,std,1,0.006833476432677795,0.007611263428745304,0.002430455686620772,0.006998597644650431,0.0009026485813027812,0.0029246687348096776,0.002552226828460588,0.005161306027143425,0.007606991677471308,0.0029018581522807173
f1,mean,1,0.0019549443037601205,-0.008225495144359812,0.0006387841356508106,-0.014971363600872376,0.0001096750912980222,0.0009779785088663334,0.0009873094842602606,-0.0035894355645014015,0.013625931531626036,0.0012525127399326819
f1,std,1,0.008410213419783865,0.0011826125982088039,0.00028746060486255546,0.0012778295743737361,0.00010845482525181196,0.0003423480256626237,0.00029927799347697097,0.0006947507975224294,0.006144695812675797,0.0003373817638875849
average_precision,mean,1,0.23696958114058836,0.5466977459911583,0.6613880443836406,0.5232292590497875,0.029112455665240077,0.5459585107023188,0.6885337212311339,0.5158056281629099,0.8174941363327458,0.6421708760309127
average_precision,std,1,0.10957117160193591,0.1189230728469051,0.04890333905295572,0.09108357184558223,0.01727069788202274,0.06777656267083171,0.07370216192943718,0.11049799610614806,0.008704587125854884,0.04086472255561405
balanced_accuracy,mean,1,0.07011729827275066,-0.03068445475638055,0.0027262180974477303,-0.0511407579273009,0.00046403712296981076,0.004195668986852223,0.00423433874709972,-0.014307811291570046,0.1007244135086362,0.005394431554524326
balanced_accuracy,std,1,0.050788157743986505,0.0038718550040659013,0.0012363744995164982,0.003560191493247355,0.0004591779616023814,0.001487781021129989,0.0012983195641299175,0.002625559968564259,0.05168302010824369,0.0014761772619200741
accuracy,mean,2,0.07502679528403003,-0.038210075026795264,0.00632368703108254,0.0010718113612004365,0.0,-0.025133976420150035,-0.0028938906752411287,-0.03435155412647372,-0.008467309753483369,-0.001875669882100728
accuracy,std,2,0.006435332498297145,0.005423248985187931,0.004372149636521159,0.002825600498706122,0.0,0.008652678087728398,0.0010501563741835598,0.005483286781112292,0.005795715255989609,0.002817967165087866
f1,mean,2,0.025125112052461266,-0.01723954662758387,0.002453569211710092,0.0004165850483649462,0.0,-0.010944511158610509,-0.0011651872763600876,-0.01530472190889222,0.004788915401332401,-0.0007615899631820864
