metric,measure,k_fold_i,"current__fft_coefficient__attr_""imag""__coeff_4__2",current__energy_ratio_by_chunks__num_segments_10__segment_focus_5__2,"current__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""__4","current__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2__2","current__linear_trend__attr_""rvalue""__4",current__cid_ce__normalize_True__4,"current__linear_trend__attr_""stderr""__4","current__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""__3","current__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""__2","current__fft_coefficient__attr_""real""__coeff_4__4"
accuracy,mean,0,-0.011443569553805799,-0.0033595800524934567,-0.012545931758530209,0.0,0.0,-0.03448818897637798,-0.016850393700787423,-0.031391076115485576,0.0,0.0
accuracy,std,0,0.003961776853357093,0.0019808884266785615,0.003993988359396796,0.0,0.0,0.004817113216698648,0.004566929133858262,0.004563005524850548,0.0,0.0
f1,mean,0,-0.027136376413907603,-0.00939353620443827,-0.007326874244421492,0.0,0.0,-0.014468014956469462,-0.002935155984588195,-0.05706455957557832,0.0,0.0
f1,std,0,0.014340486367964662,0.0056551675481055315,0.025327810027736035,0.0,0.0,0.06901291484594618,0.03938983759060475,0.04571952901652349,0.0,0.0
average_precision,mean,0,0.1198879890759142,0.07730807991344867,0.17508421731830026,0.0028822021496387094,0.0008031584103629882,0.2868453993212438,0.216079134826585,0.24668125823642187,0.031122730727585216,0.009931298406553586
average_precision,std,0,0.039290272402333716,0.031116721994834715,0.04824141122861202,0.00478656718553483,0.005023767254396953,0.04713800682887697,0.050439134844866874,0.04766499410448763,0.01626361796367645,0.014653242144973095
balanced_accuracy,mean,0,0.0006150751263974944,-0.0017660044150110132,0.020947269102043718,0.0,0.0,0.06449743644520405,0.03398579363383893,0.028382468133589703,0.0,0.0
balanced_accuracy,std,0,0.008380388090180274,0.001041278270646433,0.01668199871805771,0.0,0.0,0.03447352055939628,0.024493834648331103,0.025243369342597115,0.0,0.0
accuracy,mean,1,0.007145572025845672,0.0026985936906119222,-0.008323831242873442,0.0010642341315089251,-0.0072976054732041195,-0.08878753325731663,-0.012238692512352732,-0.005625237552261512,-0.005967312808817948,0.03694412770809578
accuracy,std,1,0.0020169516018884947,0.0019414052130934422,0.004133835283890729,0.0010989610258305435,0.003440963982594086,0.010931881488123206,0.004969656899636985,0.003592946346817628,0.003565702967045426,0.005146730788235877
f1,mean,1,0.0007947459984062169,0.00030209901827640183,-0.000956810387581344,0.00011954572259549415,-0.0008365975842215018,0.0019312003622707558,-0.0014170362198481967,-0.0006436750831943586,-0.0006830505608477471,0.003900124533360962
f1,std,1,0.0002211773903065176,0.00021680770330451132,0.0004795654822064957,0.00012332023133608172,0.0003999444811586098,0.008270713895526102,0.0005856550188807056,0.0004130160248361067,0.00041157791781428724,0.0005091943479415364
average_precision,mean,1,0.07878075479722378,0.09378286956664243,0.2625323264906232,0.04039988270533336,0.11741163309203309,0.6272006038515499,0.35283335462618154,0.521079221836443,0.13866337965756648,0.7015167119430815
average_precision,std,1,0.028688789821833944,0.04877052735401929,0.09290260289035782,0.02399730492299145,0.05396544627812756,0.09216657448463522,0.11022010035769274,0.12059628138155479,0.07761639066427369,0.09580250882916072
balanced_accuracy,mean,1,0.003634957463263755,0.0013727764887857912,-0.0042343387470997786,0.0005413766434648193,-0.0037122969837586855,0.05309358081979892,-0.00622583139984532,-0.0028615622583139915,-0.003035576179427679,0.018793503480278435
balanced_accuracy,std,1,0.0010260246837912955,0.0009875941832267867,0.0021028848862947825,0.0005590422387780716,0.0017504207730481434,0.0548246399757713,0.00252806792400328,0.0018277343075168556,0.001813875581263824,0.002618145534386821
accuracy,mean,2,-0.004394426580921703,-0.002840300107181093,-0.007288317256162854,0.00771704180064312,-0.016184351554126432,-0.007877813504823094,-0.023687031082529446,-0.024651661307609825,0.0004823151125402362,0.05219721329046091
accuracy,std,2,0.003914680035959197,0.003774617717672096,0.002186074818260573,0.0012031052690591331,0.0036880279815831233,0.00816988166133924,0.004821960076828298,0.0050386534934804455,0.0025973463700005774,0.006967598269301182
f1,mean,2,-0.011409776620121099,-0.006781948641414183,-0.02170392830737268,0.02027481919760837,-0.04279402517068841,0.1898427456300064,-0.06647448985775432,-0.06928278480809726,0.0022915982375394366,0.17072687268256223
f1,std,2,0.014709048259882044,0.014001463704673912,0.006964673792082472,0.002988137355552169,0.0191753702647438,0.055317361756057594,0.027115444041701728,0.03148689256979848,0.009626557082610461,0.024026373126872818
average_precision,mean,2,0.043455097213774246,0.05833245892942925,-0.006107999959862839,0.022031137270342335,0.028890108698492636,0.4185349832552008,0.03449130910663333,0.09749151263800979,0.02523200364357373,0.5096396945301424
average_precision,std,2,0.05112977961641108,0.06022061592014489,0.03636350931891661,0.013120633938734966,0.0631784041047017,0.0871287146261939,0.0733666165467999,0.08872886059908067,0.043742109300940926,0.01619359889256642
balanced_accuracy,mean,2,0.0012413847117793697,0.0020363408521302546,-0.0037280701754386987,0.0039473684210525216,0.010330513784461063,0.323954417293233,0.01812343358395981,0.019956140350877102,0.0025728383458646143,0.18720238095238084
balanced_accuracy,std,2,0.011453330122131653,0.01144937888567604,0.0011182060336826507,0.0006154041754562579,0.0183657838572697,0.0595983640414456,0.020979018855375963,0.02817003493749056,0.009270070936283683,0.04706242575566774
accuracy,mean,3,0.027151515151515187,-0.03713131313131312,-0.039434343434343405,0.06589898989898992,0.018101010101010125,-0.027393939393939373,-0.04109090909090905,0.04444444444444448,-0.05894949494949494,0.05414141414141418
accuracy,std,3,0.010509400808637777,0.004730724803625322,0.004825534909683582,0.0052414802287394395,0.00537480053278897,0.009218498589978924,0.006765837229265649,0.0056189223648298835,0.006216053612872905,0.005423781557834292
f1,mean,3,0.07299538963226097,-0.00010671689669599267,-0.013034907231374177,0.03545965475336189,0.01964400643861337,0.04297648624660599,0.015666394184906125,0.025019602688437934,0.013821417271634603,0.09184426325054387
f1,std,3,0.02051421394735125,0.011622111788056173,0.009278382524184333,0.002438215610500845,0.006673578845193769,0.02059004026039634,0.019351944308842243,0.0028684945725194035,0.015908591164371648,0.003961285032310344
average_precision,mean,3,0.04177544247347608,0.013208625905748138,0.008050470607069754,-0.006259943341058336,0.007504205741555432,0.024314830513569596,0.009933703020760905,0.0008639895234915151,0.024816557125821724,0.05313403133542425
average_precision,std,3,0.005050197254211898,0.004787030098410065,0.003396819247059191,0.01813102058381993,0.003144666020247498,0.006461807418962356,0.004726814957795688,0.004720937339163161,0.006606943750506558,0.0027092838412758656
balanced_accuracy,mean,3,0.15088561673068715,0.037222577891591974,0.01134229620145113,0.034805804524114387,0.03172215108834827,0.1188593683311993,0.0740930431071276,0.023474178403755867,0.08646500213401621,0.1822983354673496
balanced_accuracy,std,3,0.041495304720388745,0.021665586521295237,0.017464745577443187,0.0027683874447567472,0.01329365786986615,0.03641785938870176,0.03489319471335124,0.002967740685649583,0.02688700644009895,0.007986005068444805
accuracy,mean,4,-0.013672654690618728,-0.008832335329341282,-0.02485029940119758,0.000299401197604802,-0.021706586826347272,-0.02879241516966064,-0.024401197604790387,-0.017165668662674608,-0.019810379241516938,0.006337325349301422
