metric,measure,k_fold_i,current__ratio_beyond_r_sigma__r_5__4,"current__fft_coefficient__attr_""imag""__coeff_51__3",current__number_peaks__n_5__4,"current__fft_coefficient__attr_""real""__coeff_91__6","current__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4__6","current__fft_coefficient__attr_""angle""__coeff_13__6","current__fft_coefficient__attr_""real""__coeff_2__4","current__fft_aggregated__aggtype_""skew""__4","current__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""__3","current__fft_coefficient__attr_""real""__coeff_87__6"
accuracy,mean,0,0.0,0.013228346456692918,0.01028871391076116,0.009816272965879277,-0.0015223097112860887,0.05217847769028871,0.024356955380577437,0.0013123359580052582,0.00299212598425197,0.008556430446194242
accuracy,std,0,0.0,0.007943004858531336,0.0037868112959310134,0.004941358781937519,0.006331718404911399,0.007027850066637084,0.006764121225341579,0.006669972520296557,0.006771653543307092,0.005957716181547692
f1,mean,0,0.0,0.05609172251490359,0.03631135520327186,0.05107133961604672,-0.003923732734918084,0.20926233574661385,0.07930401470939816,0.021684828318660327,0.0218385102186681,0.04863113858624329
f1,std,0,0.0,0.03150635463233306,0.012583575332834471,0.020368862294724663,0.027384681418677316,0.03098466608139732,0.01998455976350763,0.030969603928962797,0.02660874945566309,0.02458673772601764
average_precision,mean,0,0.0,0.2364706968975137,0.10817677861899716,0.3205433360665878,0.13227123659093723,0.2923739417930774,0.16059674421169481,0.2201079402158683,0.20437015771529105,0.31081205126625844
average_precision,std,0,0.0,0.07423935105871028,0.051846033914210395,0.059405411927684074,0.05253588281976214,0.05731318251347688,0.05889872301179672,0.09366326135207903,0.05194171779853907,0.06619294803651686
balanced_accuracy,mean,0,0.0,0.02735526596881015,0.005408388520971371,0.03576247952716663,0.004810225735241795,0.13096649576301367,0.012803532008830058,0.03384248379975795,0.024014633625293783,0.038670511998860714
balanced_accuracy,std,0,0.0,0.017737563641868976,0.001990583752414037,0.015696390111138596,0.010134183861807651,0.03332627132077575,0.003555643193784674,0.022760018382920716,0.01069202140698517,0.020337815603455742
accuracy,mean,1,0.0,0.024439376662865817,0.126149752945648,0.02554161915621435,0.05077917141771189,0.051957430634739635,0.06700874192322308,-0.008095781071835817,0.0404408969973394,0.015887495248954754
accuracy,std,1,0.0,0.006633629782370673,0.008631246242311885,0.006095100352839551,0.007641855028118393,0.007405390662384574,0.008449575994784724,0.009269755569761748,0.010634465240000003,0.006489976476926345
f1,mean,1,0.0,0.005065434766774772,0.02109544899445134,0.005284299025162031,0.011982292700503624,0.027683530912356934,0.013862605777793257,0.006484320283152295,0.008058767755388383,0.003861039036609926
f1,std,1,0.0,0.0013109211420813027,0.0011232322379179287,0.0011928339271229627,0.002717311521913661,0.0068543592149071676,0.002695889251824338,0.005449824659745846,0.0019273853680592903,0.0023116811466610257
average_precision,mean,1,0.0,0.5507087726995673,0.5469606279240168,0.6024941739150493,0.5425763700608993,0.6118117404339577,0.6873950180767369,0.5201139475770706,0.5610591142284159,0.6156899495707174
