metric,measure,k_fold_i,vib_table__index_mass_quantile__q_0.9,"vib_spindle__fft_coefficient__attr_""angle""__coeff_23","smcdc__fft_coefficient__attr_""imag""__coeff_67","ae_table__fft_coefficient__attr_""real""__coeff_88","vib_table__fft_coefficient__attr_""abs""__coeff_69",smcac__large_standard_deviation__r_0.05,ae_table__ar_coefficient__coeff_6__k_10,"ae_table__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""","vib_spindle__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",smcac__energy_ratio_by_chunks__num_segments_10__segment_focus_4
accuracy,mean,0,0.003453640323584306,0.01081725783032565,0.04532254718937978,0.013627878033602976,0.01949802945447001,0.0,0.03830118232731797,0.10899191039203485,0.04876581622070108,0.0008400746733042845
accuracy,std,0,0.0011870939624508729,0.0017740973816221131,0.0027353484595079524,0.0016510888813219113,0.0019352953639159229,0.0,0.002709290436702052,0.004899917002221716,0.0035818665892893074,0.0007147167456552613
f1,mean,0,0.013965657662213037,0.04035896148396577,0.1953487864656371,0.04758462977415385,0.07299678965035268,0.0,0.1601123226849703,0.510211495419579,0.24160845195284272,0.002993131896052337
f1,std,0,0.004348042501686449,0.006582534018532357,0.01098409460751839,0.005586192650639593,0.007235155084382328,0.0,0.011591324516403444,0.022921245509781106,0.01733867936267312,0.002517573962783841
average_precision,mean,0,0.015132502242263084,0.03326415175362641,0.2057470765716509,0.032196423902406464,0.06991408807565444,0.0,0.1996247442804268,0.5810554690854599,0.259844851996655,0.004072803554341301
average_precision,std,0,0.0032350517652794796,0.00530426565540318,0.009748448373973312,0.005150939685665393,0.0077028154860692135,0.0,0.017913989012344388,0.027582633776426568,0.01428726551990034,0.0007554587414518961
balanced_accuracy,mean,0,0.009752751174440018,0.018915589555918925,0.1387980482234161,0.014227400140154157,0.037356406862363405,0.0,0.11093471800461988,0.3353416906745568,0.18952743388097282,0.0006753030185055427
balanced_accuracy,std,0,0.0028988808104048656,0.004182509771641256,0.007345671909956328,0.002875241811021206,0.005287581887139923,0.0,0.009258544137692335,0.01347526004113339,0.010927711775949065,0.0006340220181363928
accuracy,mean,1,0.02806100217864921,0.008714596949891037,0.08075526506899051,0.002948438634713113,0.011895424836601273,0.0,0.052955700798838025,0.05337690631808278,0.050370370370370336,0.002149600580973088
accuracy,std,1,0.0034614250369633605,0.0020250893313502744,0.005412334578398,0.0015535600623059536,0.0022950736672855457,0.0,0.0044260849858512,0.005003309597125394,0.0036292224722616058,0.0009340848331627353
