metric,measure,k_fold_i,"smcdc__cwt_coefficients__coeff_8__w_5__widths_(2, 5, 10, 20)","vib_spindle__fft_coefficient__attr_""angle""__coeff_64","smcac__fft_coefficient__attr_""real""__coeff_32",ae_table__autocorrelation__lag_1,"vib_spindle__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","ae_spindle__fft_coefficient__attr_""abs""__coeff_28","smcdc__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""","ae_spindle__fft_coefficient__attr_""abs""__coeff_53","ae_table__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4","ae_table__fft_coefficient__attr_""abs""__coeff_50"
accuracy,mean,0,0.06243517942335618,0.0006015349512549451,0.002395768512756713,0.007975523750259303,0.02465256170918898,0.020638871603401793,-0.001140842148931731,0.0068139390168015105,-0.0031528728479568407,0.0028417340800663974
accuracy,std,0,0.003815169762630011,0.0013702671283894433,0.0009578156527404169,0.002294119533527469,0.0032211337095574577,0.002004102960845774,0.0018377976712994591,0.0011342704501280702,0.0007438465495557426,0.0011239342198003709
f1,mean,0,0.414576910093147,0.006673121767359902,0.02786015690543511,0.0610091483097754,0.14996578343879438,0.09168073475036358,-0.025145237886371942,0.045533124053359554,-0.01209657149781711,0.015777797063613257
f1,std,0,0.016396656727723866,0.007113613448348747,0.004540537289037562,0.010987483170098532,0.016523089724483415,0.008148030261111503,0.008107541255838922,0.00612388502858357,0.0037392151151786233,0.004951625495840769
average_precision,mean,0,0.30329851832857063,0.0019256656437225148,0.003663967484671682,0.01422474010220922,0.14062032726898469,0.04030491931570842,0.009512597346078795,0.008264881802051002,-0.009924796199244102,0.0070621041524104086
average_precision,std,0,0.007347770866159552,0.0013077434481136437,0.0012261392446171618,0.003848320539407686,0.01062009744294599,0.010919316066041667,0.0024214335384283386,0.001377220100657783,0.0009492537407380073,0.0011602347254551755
balanced_accuracy,mean,0,0.24852312543798183,0.006771295647434442,0.027483908224973465,0.05057077136702229,0.10438238080406972,0.05701335357782457,-0.03138934309221618,0.03660651716888584,-0.006387331620337862,0.011916510939811638
balanced_accuracy,std,0,0.007945525505159968,0.005217895530166263,0.00322856307373154,0.006776298905832926,0.009947299759054305,0.005193688825419106,0.0062582648271011995,0.004359975941427416,0.0028534695295973477,0.0034545517872992264
accuracy,mean,1,-0.0385039941902687,-0.00056644880174291,0.0005228758169934548,-0.03565722585330427,0.030689905591866375,-0.0018445896877269312,-0.00962962962962961,0.013493100944081345,0.003427741466957157,-0.003253449527959314
accuracy,std,1,0.003713487582724598,0.001169997523494345,0.0020542555942759167,0.0030357235898173713,0.00605302142185462,0.0016174259593119476,0.0030446054716855267,0.0032029025472365045,0.0037444608381866787,0.0013766734188610259
