metric,measure,k_fold_i,"ae_table__fft_coefficient__attr_""abs""__coeff_14","smcac__fft_coefficient__attr_""abs""__coeff_56",smcac__approximate_entropy__m_2__r_0.3,smcac__count_below__t_0,vib_table__partial_autocorrelation__lag_7,vib_table__energy_ratio_by_chunks__num_segments_10__segment_focus_2,smcac__large_standard_deviation__r_0.25,"vib_spindle__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","ae_table__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",smcac__lempel_ziv_complexity__bins_10
accuracy,mean,0,0.010817257830325703,0.002820991495540389,0.014229412984857947,0.043632026550508234,0.0009230450114084595,0.0,0.0010267579340386135,0.03476457166562956,0.002644679527069105,0.014032358431860651
accuracy,std,0,0.0018593560672201977,0.0005263877842957719,0.002024289217798106,0.002493880687404722,0.0015231682488899066,0.0,0.0007918262599720534,0.001966064403413862,0.0010740673707326375,0.0021770081136529757
f1,mean,0,0.07323705732826519,0.027520849287103803,0.15451304887574974,0.4488511173166118,0.017244999766685472,0.0,0.009443081127192532,0.29795979381353266,0.011672298426973792,0.07640156351364163
f1,std,0,0.012037948145338519,0.003147839979337379,0.0172002071395534,0.02089343812108133,0.009963850547483818,0.0,0.004902657879459233,0.016277525911445496,0.0066107370666401485,0.013650212489345365
average_precision,mean,0,0.0422407269489196,-0.007733474132083999,0.03957817652575681,0.41152133581015465,0.008676687693799942,0.0,0.004421711139798627,0.2894158199274486,0.009567848660243971,0.06236684051329196
average_precision,std,0,0.006539944994547688,0.0013158833170624214,0.008997316982504753,0.019256027674882856,0.005430108789576974,0.0,0.002812054755458288,0.01729321814931526,0.0025674141402999354,0.007541381910814057
balanced_accuracy,mean,0,0.04104531651483305,0.019632030418645755,0.0942654883334632,0.21038474266137205,0.01500317942329162,0.0,0.006767986451763678,0.15227231436061162,0.004078356562589291,0.03662533416387664
balanced_accuracy,std,0,0.006434166804864494,0.0017452940616120125,0.008052500102884514,0.007127634055656323,0.005952584620872494,0.0,0.0027551709500121713,0.006888241164640774,0.0038937974377009836,0.007488558185316751
accuracy,mean,1,0.020479302832244053,-0.002396514161220013,0.019738562091503317,0.009963689179375502,0.007131445170660892,0.0,0.0,0.07960784313725494,-0.0025853304284676397,0.006957153231663083
accuracy,std,1,0.002538227655915208,0.002552524141234551,0.003977889759424654,0.00389197798067165,0.0021916340236975687,0.0,0.0,0.0066054402960328586,0.0008709754161548257,0.0019982963311711934
f1,mean,1,0.05475226351622135,0.02189554153440031,0.1354151563349648,0.08897016770134224,0.02887519502351105,0.0,0.0,0.3388952180956857,-0.007037887226931512,0.01971780668790561
f1,std,1,0.0064743452542067445,0.009588889222031808,0.018683495786405966,0.01975807200429545,0.007441835029597994,0.0,0.0,0.023741238927896407,0.0027020547704099873,0.005444940481225561
average_precision,mean,1,-0.034551430357385324,0.07434595780133497,0.19983085463291114,0.10981903865705589,0.10316193104019228,0.0,0.0,0.42732981294744926,0.0030506750034557605,-0.009635980951854407
average_precision,std,1,0.011453872558754071,0.0111268501220506,0.02424501312965433,0.02252838561678601,0.013469186806254727,0.0,0.0,0.027473377489318003,0.0005701145562776717,0.003723045771036962
balanced_accuracy,mean,1,0.015916083916083918,0.051008547008547026,0.1447995337995338,0.10887801087801087,0.02189976689976691,0.0,0.0,0.29577311577311577,-0.0008663558663558427,0.005581973581973598
balanced_accuracy,std,1,0.0043830216444086054,0.00631691864162475,0.017351827861291393,0.01758949268788876,0.0058883129021026145,0.0,0.0,0.02173714215791317,0.0013509371330248602,0.0022894883971195496
accuracy,mean,2,0.018130511463844777,-0.0491005291005291,-0.03160493827160496,-0.0325925925925926,-0.031816578483245164,0.0,0.0,0.03947089947089945,0.008500881834215138,0.03597883597883596
accuracy,std,2,0.003112062786612031,0.00165296289437177,0.006953775819598789,0.0060997435827068215,0.004700234273048303,0.0,0.0,0.006704631409842977,0.001759784082295096,0.003520275118130412
f1,mean,2,0.039101862635784766,-0.1420562493325871,0.12072096733844102,0.15608642961993432,-0.057225554444413455,0.0,0.0,0.1390678039960273,0.018569355630183568,0.07025465850230596
f1,std,2,0.006902246167331186,0.006599667449858848,0.04413702918032526,0.049920379165097686,0.02111596155194155,0.0,0.0,0.022051097911459237,0.0037175906254723334,0.005943571181997446
average_precision,mean,2,0.11138017344711013,0.04242265835158297,0.47567236271571683,0.6026983080412159,0.1908072823183163,0.0,0.0,0.5987517446948073,-0.009888270092989083,0.1300314269101492
average_precision,std,2,0.022569677510082674,0.041918467736509375,0.04465999633223912,0.04792988518125731,0.036864763179354054,0.0,0.0,0.04776782024446348,0.005479456307387027,0.03273292694279142
balanced_accuracy,mean,2,0.011674352032038855,-0.02364272217051636,0.24857397692980232,0.2788120117325211,0.03283766252079989,0.0,0.0,0.12975540795893623,0.004502989536621867,0.019058295964125622
balanced_accuracy,std,2,0.004524646483802041,0.004069662486077555,0.027099119315284626,0.03012117837545278,0.017269577656624773,0.0,0.0,0.025972879771068297,0.0009321726220677349,0.001864719723449113
accuracy,mean,3,0.0014959723820483753,0.010989643268124323,0.05757575757575763,0.08716915995397011,0.021001150747986242,-0.00011507479861905996,0.001400076716532454,0.04213655542769471,-0.0004027617951668135,0.02395473724587654
accuracy,std,3,0.002077729584035421,0.0031456701801695426,0.007115329140666052,0.006416989423785651,0.0035985798804095107,0.0010441624540710565,0.0018296732148425578,0.0045612881919756525,0.0016817595541954698,0.0046589505471842
f1,mean,3,0.0017124683751573795,0.02492682076528462,0.15476936040182532,0.23874587901036706,0.032918254705954525,-0.0004134981262187476,0.0062794912399983215,0.12318586803946507,0.00043890213056470376,0.039464124338573034
f1,std,3,0.003942294165294202,0.0063617102774712895,0.016817221659934174,0.017338439645168187,0.006336078110113953,0.002162463283516291,0.0037075506097530814,0.012381632566227214,0.0033774390725506923,0.00918270784346344
average_precision,mean,3,0.0005128583809542916,0.036537790169824204,0.1189235761639963,0.22165486495689413,0.03479710793321253,-0.0002315950269224117,0.00465472518464726,0.09305656752419876,-0.001795464582287291,0.03393608138668178
average_precision,std,3,0.0006279201658791004,0.009312182735992401,0.011850886583457825,0.014074134319618277,0.003062294862064978,0.00020299527782467148,0.001581693906594704,0.00822215756599459,0.0010771305433116888,0.003370961865412602
balanced_accuracy,mean,3,-0.00010287006921284961,0.01968260666694116,0.11488047858884455,0.1651416278974021,0.015684683510139484,-0.0004812992621259856,0.007758198727361728,0.09733595683459821,0.001578389394376071,0.02095844712512753
balanced_accuracy,std,3,0.0026862729174887178,0.004540545591998233,0.010283784192934638,0.009936636810150749,0.004418241287377593,0.0016270093559128355,0.002741048716492157,0.008108042669699354,0.0024996549335384254,0.006860340537321614
accuracy,mean,4,-7.26849832824191e-05,0.003474342200901296,0.0011048117458933267,0.02112225614188111,0.004608227940107571,0.0011048117458933267,-0.00027620293647330946,0.005058874836458797,0.0,0.004840819886611425
accuracy,std,4,0.001165228924399006,0.0010770138939957075,0.0019656685848391093,0.002251170220533258,0.0011520971101075502,0.0003513023978367427,0.00032796959362344126,0.002179386228452994,0.0,0.0009643848402745822
f1,mean,4,-0.0016018352814937613,0.04896654588049997,0.04692038945815864,0.33368669528594624,0.026145841618048,0.006279913772579807,-0.0015948378228326436,0.09152643500828082,0.0,0.026279330820352213
f1,std,4,0.007721359664401311,0.008125581804496853,0.01915516730652405,0.030040632220518625,0.00655656587420409,0.0019788481813189226,0.0018956906508617356,0.023122128742594318,0.0,0.005264298988478435
