metric,measure,k_fold_i,"smcdc__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","vib_spindle__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",vib_spindle__partial_autocorrelation__lag_6,"vib_spindle__fft_coefficient__attr_""abs""__coeff_58","vib_table__fft_aggregated__aggtype_""kurtosis""","smcdc__fft_coefficient__attr_""abs""__coeff_33",smcac__number_peaks__n_3,vib_spindle__quantile__q_0.8,"smcdc__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",vib_spindle__autocorrelation__lag_5
accuracy,mean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,0,0.0020916009766372384,0.020742892874031714,0.072351598161891,0.0031221967833286826,0.08617760823491342,0.00123591787667758,0.23333461526038757,0.13165392774846651,0.07348306978986692,0.005990014878981842
average_precision,std,0,0.01176739932591501,0.005091262334916263,0.00994156352475044,0.0039344664408251006,0.012303648187671934,0.006238171482068376,0.017624958327350622,0.0103080721971378,0.0037739204424938654,0.0049263902836864
balanced_accuracy,mean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_accuracy,std,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,mean,1,0.0006826434277414251,0.0015105301379810883,-0.0034567901234568246,0.0006100217864923282,-0.0006390704429920513,0.0006826434277414251,0.0016267247639796293,0.0015831517792301742,0.01744371822803191,0.0008278867102396115
accuracy,std,1,0.0004731008707306308,0.00031286360535275976,0.0014837580582857924,0.0003299293156601331,0.0008622118855282907,0.0004731008707306308,0.00022312696435347452,0.00026344745311861765,0.003263581329422598,0.0006593789085151006
f1,mean,1,0.02012171472938701,0.0449071572818318,-0.11505315631648314,0.017920468143952453,-0.0180664805920907,0.02012171472938701,0.048421852343079254,0.04710315825687036,-0.17647980764665225,0.024528261533366826
f1,std,1,0.014066187881823677,0.009439111572366297,0.033390298371370565,0.00976093839945001,0.024466410350567257,0.014066187881823677,0.006762848706771594,0.007976774661383928,0.029623547087173987,0.019462867323044027
average_precision,mean,1,0.17832332340906323,0.028615855900146488,0.17574229425922858,0.003327861358342732,0.08802162706100784,0.05035114787736601,0.44392703606582873,0.287524382820746,0.35430594097326334,0.031599175276332124
average_precision,std,1,0.024912872403939565,0.0069793873332416705,0.018272608336474924,0.0019032074448909358,0.01091111715591731,0.010230002257160673,0.026883023975679286,0.03127466248971395,0.026145675982649302,0.0075835536000027565
balanced_accuracy,mean,1,0.005222222222222187,0.011555555555555541,-0.03254156954156956,0.004666666666666626,-0.004888888888888928,0.005222222222222187,0.012444444444444425,0.012111111111111092,-0.06383372183372187,0.006333333333333302
balanced_accuracy,std,1,0.003619221661089401,0.002393406580948664,0.010202422867477204,0.002523959264800111,0.006595920924291472,0.003619221661089401,0.0017069212773041303,0.0020153730163574497,0.013300962565093898,0.005044248650140525
accuracy,mean,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,std,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,mean,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1,std,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average_precision,mean,2,0.07273569650734693,0.004874589397445842,0.1477780057260455,0.0010000565206601678,0.16404770960034995,0.06626599119247314,0.6427114890267499,0.07246591092058795,0.042821019334312545,0.01656696567056038
