metric,measure,k_fold_i,"smcac__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""","ae_table__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","ae_spindle__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",ae_spindle__number_peaks__n_3,"smcac__fft_coefficient__attr_""abs""__coeff_20",vib_spindle__cid_ce__normalize_False,"smcdc__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",smcdc__lempel_ziv_complexity__bins_10,vib_spindle__autocorrelation__lag_8,"ae_spindle__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2"
accuracy,mean,0,0.07551337896701928,0.0122899813316739,0.04100808960796513,0.0019809168222360376,0.011408421489317562,0.019871395975938577,0.009666044389130872,-0.0001451980916822267,0.00521676000829702,0.030128604024061385
accuracy,std,0,0.003605407878258488,0.002012805723663451,0.0028802331582658994,0.0013261067014749591,0.0016013490201716514,0.002540098654194838,0.0021070831529593757,0.001277143686277715,0.002071170694924589,0.0036320999958101828
f1,mean,0,0.41011594609121527,0.023454902396278385,0.11759073736164924,0.012442602154158607,0.02057914137480204,0.13602803151149725,0.03186896885866879,-0.0035933751197003818,0.02948356602438386,0.08645942516532124
f1,std,0,0.013241852020543237,0.00778501345397626,0.010242193588769263,0.005837309084117134,0.006798402855176129,0.012507918219306718,0.008947471787345186,0.005271833653214715,0.008931869451636473,0.01134275161834425
average_precision,mean,0,0.47845410739678135,0.05200172355320314,0.27305288757660423,-0.0003811339579849175,0.15385812773305593,0.20914248766452972,0.04957336032611517,0.03709381869107912,0.02205337814085002,0.27233790430400884
average_precision,std,0,0.012459298525802732,0.003955862809046246,0.00775927491555579,0.0013979058447756982,0.003965048208082325,0.012782188649827811,0.005309251857272438,0.005693193599063254,0.004076835832050417,0.014842644713635262
balanced_accuracy,mean,0,0.24678433777154882,-0.004488631939577907,0.04833527991902208,0.010299028004879493,-0.005955968231721501,0.1004765566196891,0.013533961431648952,-0.004410606296555793,0.022437449713203106,0.032742544576812346
balanced_accuracy,std,0,0.006935724123563887,0.005530528249761041,0.007395322161007478,0.003979736381216789,0.00566121134119619,0.007270426130810688,0.006655293588546472,0.0036522397148284424,0.006015725599593367,0.007273104128107486
accuracy,mean,1,0.04088598402323898,0.03889615105301384,0.005853304284676889,0.009832970225127136,-0.007901234567901183,0.03401597676107485,0.0021786492374728256,0.026855482933914362,-0.022004357298474886,0.02687000726216419
accuracy,std,1,0.00544817213508511,0.002767103722087984,0.005264563118962723,0.0025349426227185444,0.0024769835557546392,0.006816476304389834,0.0019744540848762775,0.0031870559759379657,0.004512486966711979,0.004499260875073723
f1,mean,1,0.023117548876173833,0.018847673656193966,0.003037085268930014,0.005031598933330304,-0.0042007436302358,0.06142022530759274,0.00112921527995119,0.013305913678674626,-0.012048826466330017,0.013303777728932039
f1,std,1,0.0031283569419119175,0.0012484249207389058,0.002708069345202041,0.0012703846954309323,0.001337699598723531,0.00824382272055883,0.0010228745554255452,0.001503255211536106,0.0025805309929189282,0.002115794399737213
average_precision,mean,1,0.32434164779438585,0.029316937329528905,-0.009472519535611124,0.009063207480615239,0.00713632139707517,0.41068160762034783,0.0007472379484433837,0.003210831760745847,0.0011832172829177256,0.46406102648240294
average_precision,std,1,0.03094773012689593,0.003246327713360612,0.007750879214786089,0.002765530766697735,0.004531236900577775,0.027940156980103714,0.0014044274297140315,0.00252061712098306,0.003816028149080065,0.025587188572524514
balanced_accuracy,mean,1,0.030449883449883516,0.020808080808080883,0.0032346542346542995,0.005260295260295334,-0.004226884226884138,0.12463869463869469,0.0011655011655012518,0.01436674436674444,-0.011771561771561686,0.01437451437451446
balanced_accuracy,std,1,0.005425740790341683,0.0014803037394386705,0.002858761148303826,0.001356105668797001,0.0013250995945120938,0.016548280099912337,0.0010562638985526895,0.0017049635116031733,0.0024140227479263173,0.002406947251350636
accuracy,mean,2,0.08211640211640216,-0.0008465608465608362,0.01294532627865963,0.0028571428571428875,0.005149911816578493,-0.00014109347442679,-0.004479717813051132,0.08726631393298062,-0.01449735449735448,0.031111111111111135
accuracy,std,2,0.009996500045392197,0.0019008386011015925,0.006567007026005714,0.0011315001715940225,0.005928025159377973,0.0045615980699336015,0.00374313435646979,0.007102483498358084,0.00468605075671631,0.007996714609581363
f1,mean,2,0.03290983976772233,-0.0003945652641856904,0.005781182187136074,0.0013091776457918869,0.0023190096704495938,-8.466473238967672e-05,-0.002098785776273791,0.0341729347722223,-0.006912442392026951,0.013449287055077126
