metric,measure,k_fold_i,"ae_table__fft_coefficient__attr_""abs""__coeff_69",vib_table__partial_autocorrelation__lag_7,ae_table__ar_coefficient__coeff_6__k_10,"vib_spindle__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""","vib_spindle__fft_coefficient__attr_""abs""__coeff_66","ae_spindle__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""","smcdc__fft_coefficient__attr_""angle""__coeff_57","vib_spindle__agg_autocorrelation__f_agg_""median""__maxlag_40","vib_table__fft_coefficient__attr_""real""__coeff_89","ae_spindle__fft_coefficient__attr_""imag""__coeff_90"
accuracy,mean,0,0.01953951462352212,0.06467537855216761,0.09241858535573536,0.01282928852935077,0.018969093549056234,0.05653391412570007,0.04934660858743,0.04979257415473968,0.0048122796100394235,0.013835303878863326
accuracy,std,0,0.0018042471875530054,0.0044921465888872235,0.003470727813904901,0.001587891925423741,0.00186420913173575,0.0026983104910732764,0.0027614916806708322,0.00310462169683963,0.0011854164747753268,0.0013627104505834426
f1,mean,0,0.07878572440306669,0.274381832314714,0.38964795614536357,0.05099391781207805,0.07899390074613248,0.21818337640959712,0.2268435751976797,0.21191380008038785,0.018285994492443097,0.05264558200890422
f1,std,0,0.007657138939223169,0.01758043883796953,0.0168282189117535,0.006362542737622266,0.007779231005070101,0.011035995400294766,0.010200739951651973,0.012840641416234271,0.004484795853469196,0.004902226467880699
average_precision,mean,0,0.05466916776375545,0.2609916864020582,0.42589018332877715,0.024333801579008517,0.05933909193805888,0.18267359555800397,0.24199205907198598,0.2048081509519775,0.00789878147946927,0.025847191985813416
average_precision,std,0,0.005881676858621639,0.019606878073496054,0.023889693041205928,0.0035176069666804956,0.007909756146123914,0.012653351418260227,0.014818187099774026,0.01729546682603678,0.001431899189691162,0.0030381200582737925
balanced_accuracy,mean,0,0.04344824677515638,0.17279571880920866,0.24064646110721793,0.025024656752056878,0.04988330218796232,0.11780266163149831,0.16044255625632645,0.1357724376443718,0.0042874523086506265,0.018511218822185916
balanced_accuracy,std,0,0.006532430854235961,0.010571966491624302,0.011688376349568652,0.004828658880192328,0.00642312939301713,0.008832288687884382,0.004846616807002679,0.009101445509103,0.001663376062550766,0.002582661372102645
accuracy,mean,1,0.021815541031227303,0.07938997821350764,0.07233115468409586,0.012810457516339857,0.021234567901234562,0.02293391430646333,0.04724763979665942,0.058765432098765454,0.008075526506899067,0.013275236020334046
accuracy,std,1,0.0028879682838952045,0.004418452483214302,0.0036281760339278994,0.0018946316757147649,0.0035894784359376142,0.0029584384552968977,0.003924284274492578,0.004059127505020791,0.0021338408333719102,0.0017383139346843414
f1,mean,1,0.08558135612726692,0.3464985694519955,0.3094992936198212,0.052538479119311095,0.09813176671335683,0.08934453274545189,0.2409578412406014,0.22570835512213827,0.03446816354690343,0.05432345602191614
f1,std,1,0.010086510169414595,0.015082968580817407,0.01844865731170208,0.0073105241952306915,0.014097532993635697,0.010141406607935803,0.017607774052693446,0.012909582181014737,0.008577927152061404,0.006623034674975999
average_precision,mean,1,0.027365979224131535,0.47870131638049646,0.45315466919783753,0.008421188251439142,0.07488247901768694,0.01286262244895668,0.327084484164422,0.3361268863851201,0.01604657546882359,0.003889684342042743
average_precision,std,1,0.005230551003623584,0.03186773358513119,0.03352964996855622,0.002010731365002022,0.012513361540480338,0.004805361822364407,0.025282687127308006,0.022286230403231234,0.00527374623225275,0.0012798933193519703
balanced_accuracy,mean,1,0.012290598290598205,0.20512975912975903,0.17241802641802634,0.006853146853146775,0.041638694638694546,0.012682206682206614,0.1507319347319346,0.0886884226884226,0.005560217560217477,0.007101787101787023
balanced_accuracy,std,1,0.001976225676413494,0.015174845385584609,0.019880338843521587,0.00101356170064461,0.00803137970753197,0.00181678600151572,0.014310388390680065,0.01069951049309636,0.002083779916020211,0.0009299371748486235
accuracy,mean,2,0.01082892416225744,0.05650793650793646,0.05827160493827155,0.017072310405643686,0.013580246913580203,0.033227513227513175,0.060670194003527286,0.03975308641975303,0.00726631393298055,0.011851851851851796
accuracy,std,2,0.003928034472614738,0.005379159799847116,0.005632263465597769,0.003909460600352001,0.00399773489549289,0.0041580704136272,0.006415487855740193,0.008330864765059011,0.0023933961839417814,0.002192630725632466
f1,mean,2,0.05918852272399497,0.4671637980652517,0.29927656012311454,0.08877244996493208,0.07862167227728391,0.15606557023564518,0.4366060709347502,0.3115625120457689,0.04009530121903827,0.06357290712441786
f1,std,2,0.020768620317100854,0.034524313173139885,0.02611117572640596,0.018035004137731563,0.02070077612094076,0.015934930757652184,0.03726740094703093,0.0498339793278566,0.012571392031757587,0.01087488934647025
average_precision,mean,2,0.04506068252588702,0.6125281419656297,0.3433944137805166,0.025407341907395818,0.04247960243819211,0.022588631194868713,0.48949238932308764,0.412538431473646,0.011506556143721291,0.017936493523589867
average_precision,std,2,0.016270281814967407,0.05017424078238382,0.052246628169981754,0.008532142953082647,0.012793559476342465,0.012206789947820137,0.04845332890313315,0.0537342427646987,0.006920418971233831,0.008953262123462986
balanced_accuracy,mean,2,0.008398200637391799,0.3192063626364329,0.13172822009758303,0.010226471500691026,0.023461516766787975,0.017600896860986575,0.28562166849987314,0.217456003045943,0.0038490284005979498,0.006278026905829618
balanced_accuracy,std,2,0.005482646030116379,0.02298680407178345,0.02312206478246525,0.003349729640627435,0.008935783693565642,0.0022025653256040867,0.024923586181745387,0.028243771814934322,0.0012678023507987524,0.0011614551769745832
accuracy,mean,3,0.011584196394322977,0.10548523206751055,0.16177598772535484,0.012984273110855387,0.03486766398158802,0.06440352896049097,0.16164173379363253,0.08189489835059455,0.006425009589566544,0.010030686612965094
accuracy,std,3,0.0015130865303656287,0.0046205393698206506,0.009200088414032156,0.0024977829700169774,0.00311482348303212,0.003793203930452506,0.00717555937770926,0.004876179081571363,0.0011610902084898567,0.002072855294349696
f1,mean,3,0.021657331484370972,0.2224236238264504,0.3420063275585263,0.024582228655449383,0.06564060127738078,0.12332245146827953,0.362454447350845,0.16258157092820477,0.011843979839823379,0.018833206464036245
f1,std,3,0.0028348535901230403,0.010880476727529573,0.01957752461467051,0.004703662963970452,0.005918204289734681,0.007407194559296832,0.017120536082626276,0.009930780534758488,0.002118057175854425,0.0039042884992399767
average_precision,mean,3,0.0034854481448911975,0.13382485877112904,0.3019197364969014,0.004164154424421581,0.01989317926921191,0.058901064438731124,0.20935548178288407,0.09561759652524858,0.00029143228626534736,0.002904983106679415
