metric,measure,k_fold_i,vib_table__autocorrelation__lag_3,"ae_table__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2","vib_table__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","ae_spindle__fft_coefficient__attr_""abs""__coeff_61","smcdc__fft_coefficient__attr_""imag""__coeff_46",vib_table__partial_autocorrelation__lag_4,"ae_spindle__fft_coefficient__attr_""imag""__coeff_4","ae_spindle__fft_coefficient__attr_""imag""__coeff_1","ae_table__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",vib_spindle__number_peaks__n_1
accuracy,mean,0,0.04426467537855213,0.0566376270483302,0.024777017216345117,0.038726405310101596,0.0031321302634307693,0.06690520638871598,0.0064509437875959015,0.015401369010578684,0.00602572080481224,0.027297241236257975
accuracy,std,0,0.002780512314584318,0.003018188605889202,0.001999508760776694,0.003060919601028284,0.0013125320074305318,0.0028237545493324345,0.0011330844458616633,0.002159745352924804,0.0018079694070126178,0.002527618190225321
f1,mean,0,0.22485966858385342,0.26662637729382827,0.1462002512890085,0.21716023803020423,0.016869067453503164,0.3892715052206485,0.033520681987433666,0.08219581474790484,0.019517602151597657,0.13023046216823428
f1,std,0,0.013522167310472453,0.013300489322813799,0.012762130292351312,0.01820917253690557,0.007131934420908242,0.01791753888964699,0.005803213613937055,0.011675399601557047,0.008020818327845625,0.01303606471068879
average_precision,mean,0,0.22290785637333968,0.2958200083926364,0.07100162030061484,0.23862557601157205,0.017002228859729417,0.4014196169314078,0.016824496340511717,0.06733596844022939,0.031090455934327924,0.15555912526503793
average_precision,std,0,0.01120451613146204,0.013049252654063799,0.007548592701932942,0.017808917196316793,0.005363616356394285,0.018824364340294147,0.004047258645109019,0.00865919410982773,0.005553062291109571,0.01219400181360414
balanced_accuracy,mean,0,0.12974697630356358,0.13982896000415274,0.10942861221417634,0.14006011705468607,0.014628786109164515,0.22797983337226504,0.024952925069428224,0.05883814788860341,-0.015621674582781808,0.06962245970567624
balanced_accuracy,std,0,0.007550188102872386,0.008103611610061977,0.00822908680566321,0.010742443598397983,0.005995872021802775,0.009463378811019184,0.00432931803855117,0.007787044549781461,0.005550049461497783,0.008841436349547769
accuracy,mean,1,0.0385475671750182,0.09641249092229488,0.005925925925925975,0.029106753812636214,0.0010457516339869614,0.017312999273783637,0.001771968046477886,0.014466230936819209,0.0739869281045752,0.04746550472040673
accuracy,std,1,0.004892004197523726,0.004582327735473868,0.002112578397743127,0.004196601003166719,0.001076761248676878,0.0024825981837875355,0.0013260958269296532,0.0027405987265388208,0.004527398765267295,0.003655863150528
