metric,measure,k_fold_i,"vib_table__fft_coefficient__attr_""real""__coeff_98","smcac__fft_coefficient__attr_""angle""__coeff_66","ae_spindle__fft_coefficient__attr_""real""__coeff_39","vib_spindle__fft_coefficient__attr_""abs""__coeff_32","vib_table__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)","smcdc__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","vib_table__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""","vib_table__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)","ae_table__fft_coefficient__attr_""angle""__coeff_66","ae_spindle__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4"
accuracy,mean,0,0.03486828458825976,0.06809790499896294,0.03233768927608385,0.02662310723916205,0.03842563783447424,0.047749429578925584,0.05025928230657544,0.04752126114913922,0.0678075088155985,0.04966811864758355
accuracy,std,0,0.001728493396058881,0.004671734756499564,0.001578209463731785,0.002590353522132548,0.0036812244088439694,0.0033633063024112995,0.0046007407850771195,0.0050072616231077996,0.003982846305576595,0.0037254311241552195
f1,mean,0,0.12249106176854653,0.2346721667751336,0.10882468015117785,0.09803130859216512,0.15889480880063592,0.18889028163230476,0.17849252494751572,0.20363049214396992,0.24545056466964107,0.16412515727581903
f1,std,0,0.005371031405602529,0.012299396824800784,0.005513145096566956,0.0070865732699299045,0.011931572029616902,0.009383742312255309,0.010793294426445258,0.014024291414542199,0.010182412746173182,0.008909379731651366
average_precision,mean,0,0.3945850648215155,0.5391576517342641,0.3853030954555848,0.3756544865394359,0.44376187094754943,0.4577489475475564,0.46088220152796544,0.4982092869148617,0.5362396251103949,0.4874623919919261
average_precision,std,0,0.00972220790483919,0.012371454698480243,0.011077099646510139,0.009028254149522913,0.009807235233960513,0.013625044197456405,0.012611657208785501,0.012229687081930474,0.010855637442700579,0.017718204005532617
balanced_accuracy,mean,0,0.11365426042721065,0.20664304809364378,0.09904052791403876,0.09481140828985955,0.1550215097718601,0.17770821978250145,0.16225106413350981,0.19440966544680627,0.21841421396869884,0.1451287342002128
balanced_accuracy,std,0,0.005293448804175267,0.009703797174508933,0.005881456187313014,0.005753331103229719,0.009476951612952278,0.006882085515746099,0.007922349547659168,0.010201466485324745,0.00849911300433769,0.007504999673497094
accuracy,mean,1,0.013333333333333334,0.02339869281045753,0.03163398692810458,0.009876543209876543,0.01888162672476399,0.0006535947712418314,0.02871459694989108,0.027755991285403063,0.029513435003631086,0.048496732026143796
accuracy,std,1,0.003549883695725225,0.004690458599262092,0.004105429265390234,0.0039734060144110805,0.00306115508516612,0.004615103872944478,0.004955776569959504,0.004550752736790662,0.005063889912103313,0.005637778490203624
f1,mean,1,0.05934731696867131,0.11087902127232675,0.10585634599342982,0.051721952011350256,0.06257635753903737,0.062120747426476636,0.14159896440967346,0.08708226561638667,0.12459606034076247,0.2547609076747255
f1,std,1,0.009194902735078796,0.01113321390744591,0.009797998534905145,0.010717815739983835,0.006790814201540959,0.014425038317248676,0.014733840958217776,0.010141830611475038,0.011595680674952426,0.015058414774123985
average_precision,mean,1,0.5606639911835156,0.6712207583587532,0.605319622953663,0.49744293097252273,0.5362549840575391,0.2898418216721796,0.6825074938714967,0.5917774408097783,0.7008329496477804,0.8304432512476798
average_precision,std,1,0.01723524312029248,0.022971716530094645,0.019732093399643616,0.021873974845520693,0.02300220987550681,0.030612448631698545,0.02847108595634444,0.022888638770303064,0.018811986739941985,0.013460458994947577
balanced_accuracy,mean,1,0.07358119658119658,0.13683682983682982,0.11685392385392387,0.06790831390831392,0.06817871017871018,0.10255400155400157,0.17367987567987572,0.09297435897435898,0.1484786324786325,0.2992812742812743
balanced_accuracy,std,1,0.010368502544437344,0.01188949844893242,0.01186468505968968,0.011755143964011902,0.008915202222065296,0.014735971243022594,0.01624138508587032,0.01113365158968232,0.011887883254704324,0.015631644490099548
accuracy,mean,2,0.00807760141093478,0.014567901234567951,0.012980599647266356,0.003915343915343975,0.008924162257495639,0.027619047619047668,0.022222222222222275,0.013897707231040612,0.018977072310405692,0.04603174603174608
accuracy,std,2,0.005136970039966971,0.007060050860799475,0.006041536244375769,0.0053690887342203834,0.006234611556240897,0.005740029540061501,0.006072758861843345,0.004462325107828843,0.009245122322914058,0.007294426875220586
f1,mean,2,0.024509081306602447,0.05970235401300158,0.03935093683399981,0.02148366893684263,0.036277515182915124,0.11469083112828429,0.14305818832399367,0.06379847409606172,0.08240994911312982,0.2995672884250784
f1,std,2,0.013769546581670351,0.020371406099381786,0.015749221469228348,0.01683429402037728,0.01345676104818348,0.020806550681595988,0.022218327128384945,0.01342991755181885,0.02264333234628611,0.03338920778091144
average_precision,mean,2,0.3547601706432351,0.512875660464892,0.41063195329151686,0.3653150413864232,0.43797611808956305,0.45699263855215105,0.6168024728978986,0.4616378135932276,0.5052607983034817,0.8184900937620446
average_precision,std,2,0.03850177125765884,0.049317353946854284,0.03227515129907698,0.03591264506225373,0.04041273589631485,0.05034908970305923,0.040789636961448515,0.04889369818972558,0.035625984609969026,0.0334487880574712
balanced_accuracy,mean,2,0.016701568096567653,0.058295259046168585,0.027580590574498673,0.025440674619962203,0.03519262768987786,0.11401239529571029,0.16616888061595736,0.06681367571988604,0.08429329892545899,0.3228262402346504
balanced_accuracy,std,2,0.009621716447107399,0.02092836450389921,0.01299476633594015,0.01605948383478113,0.01070103910619262,0.02247150802779877,0.023915730162038757,0.014891937375291464,0.021139208244824858,0.031058201001695065
accuracy,mean,3,0.09934790947449176,0.1532988108937476,0.039969313387034903,0.05784426543920212,0.10074798619102415,0.09342155734560796,0.10506329113924052,0.11797084771768315,0.15372075182201764,0.07754123513617187
accuracy,std,3,0.00540021180525603,0.006103094282641664,0.003277556168398005,0.0039772546637021795,0.007337390907809535,0.005771899485219485,0.006397786248063357,0.005599157313800742,0.008445898797783196,0.005453791454794057
f1,mean,3,0.19081703504505007,0.3094074292596402,0.07474805280153886,0.11257024745831945,0.19516756815102068,0.18642908145393616,0.2084671969971211,0.23728819441561472,0.31466022959727563,0.14375719958370028
f1,std,3,0.010393928600405613,0.012979038140215827,0.006077986611805668,0.0075805645256602164,0.013854403084669417,0.012102087394561641,0.013951877332778913,0.0122273692066399,0.014363820635988001,0.009520293541256728
average_precision,mean,3,0.22624235525457712,0.3779895748306121,0.11807325920081133,0.149364027171773,0.2368685595528955,0.20471603315484593,0.2570492422088083,0.2690145279218338,0.37992802900404926,0.1801447265822274
