metric,measure,k_fold_i,"smcdc__fft_coefficient__attr_""imag""__coeff_73","smcac__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","smcdc__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""","smcdc__fft_coefficient__attr_""abs""__coeff_45","vib_spindle__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","smcac__matrix_profile__feature_""75""__threshold_0.98","smcdc__fft_coefficient__attr_""angle""__coeff_81","smcdc__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)","smcac__fft_coefficient__attr_""abs""__coeff_51","vib_table__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min"""
accuracy,mean,0,0.0005668934240362596,0.0497071050642479,0.006840513983371114,0.030565003779289463,0.03564814814814812,0.021570294784580484,0.0005574452003023274,0.07324263038548749,0.04336734693877548,0.06436130007558577
accuracy,std,0,0.00029274250538228113,0.002014245188163537,0.0009133065739678432,0.001032626452050125,0.0028763751252832664,0.00159058819122428,0.00021316164347467536,0.0023045920163887626,0.00258335931218963,0.0026699550205865575
f1,mean,0,0.0024708471667930962,0.27575565947595043,0.030984980579861262,0.15465550841120818,0.18475598506237487,0.10323241436508145,0.0024464264470902292,0.4699302252641241,0.23118631366951173,0.3513707325387891
f1,std,0,0.001274400145539307,0.013197586037248693,0.004233079992117164,0.006035853806542668,0.017538729068567502,0.00833488549013054,0.0009370612135086339,0.02167774893631706,0.01598578990206624,0.017583827226268337
average_precision,mean,0,2.5487878542840292e-05,0.046830360886380144,0.00013453408811806567,0.001615857715606824,0.018514228577552378,0.010059301878608302,-3.367739984555159e-05,0.0328179450195242,0.01735093649774151,0.14065236434320608
average_precision,std,0,1.8979915472812472e-05,0.008712827967753614,0.00022978689730936914,0.0002955054484976963,0.002092040764030955,0.002021520901917215,3.370918048933201e-05,0.0049230119775918015,0.0024244081038418347,0.006599808439589846
balanced_accuracy,mean,0,0.001940227322578351,0.2116516286559773,0.030521034090580875,0.13227544265143584,0.15310642446609787,0.08941067234309612,0.002392538523925299,0.31467207145182174,0.1824349165981701,0.24279256600059168
balanced_accuracy,std,0,0.0009998530643025823,0.007477688576278454,0.0037308185490814334,0.004460197238275704,0.012342396140002546,0.006590338626739908,0.0009148835500955708,0.009893632998775175,0.009790181892888175,0.009878451777541812
accuracy,mean,1,0.0004600585529067243,0.020883870068311747,0.008629583159068735,0.01169664017844697,0.03989962358845674,0.009005994702356072,0.0006691760769552431,0.007040289976300026,0.023923044751150164,0.03930015335285098
accuracy,std,1,0.00036380840236163384,0.002582542627604085,0.0014099891101891674,0.0015059688508009812,0.0027544305325559316,0.0020764386183645114,0.0004265177343030488,0.0016344496303556302,0.002987576421857436,0.0032387047235042815
