uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_degree
smote,minmax,0.5,svm,9811435,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.079618918,0.092183666,0.085592427,0.004862244,0.360335196,0.378962536,0.3700439,0.006445379,0.130799329,0.148294333,0.138965807,0.006592151,0.505450876,0.536522758,0.522192753,0.011546371,0.07121277,0.084111664,0.078975144,0.004397904,0.656688999,0.672342733,0.665535033,0.005350329,9220,9350,1.31,sigmoid,25000,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.7,svm,24004803,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.077713017,0.096035242,0.086075171,0.006360167,0.430167598,0.471181556,0.448760026,0.014022824,0.132013201,0.15955111,0.144385335,0.009510175,0.520144579,0.558531084,0.537003596,0.013970943,0.076614007,0.094130712,0.084409016,0.006137163,0.598876162,0.626355748,0.611722569,0.01052159,9220,9350,1.61,sigmoid,25000,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.8,ridge,597198,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.098445596,0.12596401,0.115570594,0.010143451,0.328212291,0.427230047,0.398293807,0.037489105,0.157224698,0.194187583,0.178881191,0.014773685,0.640312795,0.674315807,0.659100636,0.014823799,0.100452925,0.12522421,0.113482585,0.0095502,0.716791444,0.745083207,0.733811442,0.009289127,9220,9350,,,,,4.397575164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,1,xgb,29209865,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,9132,9283,,,,,,1,0.7,error,1.5,41,binary:logistic,94,19702,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.1,knn,23585256,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,2,2,,,,,,,,,,,,,,minkowski,23,distance,,,,,,,,,,,,,,,,,,,
smote,standard,0.7,knn,3611799,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,2,2,,,,,,,,,,,,,,chebyshev,17,distance,,,,,,,,,,,,,,,,,,,
random_over,minmax,0.7,lr,22419847,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.12111399,0.186968839,0.149886454,0.022153901,0.295418641,0.475504323,0.375075007,0.069399695,0.17179605,0.268401789,0.213991655,0.033682337,0.666516827,0.759380677,0.705175747,0.033528499,0.112230644,0.168140137,0.133865181,0.019799118,0.790238612,0.807165775,0.800391512,0.00590778,9220,9350,,,,,,,,,,,,,,,,,,,20000,l2,lbfgs,,,,,,,,,,,,,,
adasyn,minmax,0.3,ridge,6647663,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0,0.146341463,0.095393064,0.058917555,0,0.012519562,0.005953271,0.004650474,0,0.023021583,0.011149818,0.008596515,0.636471882,0.670533597,0.655463695,0.015264268,0.100166742,0.126147379,0.113597292,0.009956717,0.920791009,0.929946524,0.924122219,0.003506576,9220,9350,,,,,1.278620194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.5,sgd,12739436,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.048838125,0.107468124,0.087857505,0.020419889,0.093206951,0.524256651,0.299975904,0.152464615,0.076708939,0.167667668,0.126904277,0.033607997,0.463397741,0.630010252,0.576876522,0.06018071,0.063832459,0.095580961,0.08638606,0.011684992,0.639418907,0.886203209,0.714244886,0.088983282,9220,9350,,,,,,,,,,,,,,,,,,,,,,0,TRUE,0.799460813,optimal,squared_hinge,elasticnet,,,,,,,,
smote,standard,0.7,rf,24069445,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.404095563,0.414996768,0.408511196,0.004230813,0.925072046,0.937402191,0.932605881,0.004452089,0.564346997,0.572958501,0.568126923,0.003367968,0.974692338,0.980352894,0.976889163,0.001884085,0.833340915,0.865412053,0.850116307,0.011095641,0.89157279,0.902245989,0.896596218,0.004529647,9015,9247,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,balanced_subsample,entropy,411,9,3,460,
