uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RidgeClassifier_alpha,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,SVC_degree
smote,minmax,0.7,nb,12900958,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09881494986326345,0.13516609392898052,0.11513543888182057,0.012013390394925296,0.8466353677621283,0.8847262247838616,0.8626888270339326,0.014910154779494148,0.1771820856489049,0.2332476774066021,0.2029186994610034,0.018561979665193476,0.6944247055154161,0.7802164151044019,0.7387936469407193,0.029357663118053715,0.11066249759104745,0.20444123246212026,0.15815081057925579,0.030806979117968696,0.4502917657229306,0.5798310225303293,0.5021399660027084,0.04607119752224463,9184.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,standard,0.8,rf,6925971,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.4742489270386266,0.5522935779816514,0.5115693851461709,0.026622233143610147,0.9483240223463687,0.9596541786743515,0.9528516444206495,0.0041191552253936285,0.6338432122370937,0.6987811955890889,0.6652752647156489,0.021951319917571047,0.9883923465388386,0.9899196381941426,0.9892454051233232,0.000521778660755059,0.9229188458659444,0.9345031135267691,0.9283567962787063,0.004246941770634,0.9170277296360485,0.9444919786096256,0.9296496359119184,0.009032550491467162,8647.0,8994.0,True,,entropy,367,7,6,341,,,,,,,,,,,,,,,,,,,,
adasyn,standard,0.3,nb,15670740,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.11326703856415232,0.15262090935418476,0.1290094762680259,0.013536571365403857,0.7377567140600316,0.8112391930835735,0.7723870094539061,0.03146025962047213,0.19638351555929354,0.25415963346997833,0.2208028571309751,0.019909128865094185,0.6949149317099506,0.7800704327086974,0.7379489783753288,0.029627619320434073,0.11031002332244844,0.20146464140725173,0.15652756788399547,0.030255285830963864,0.5459260860168575,0.6649696707105719,0.5997868453798263,0.0383488991728967,9184.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,standard,0.3,svm,24770077,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4520377066656932,0.6736466687265246,0.5504895349502904,0.08355325707574453,0.05926297741323653,0.11090560134108324,0.08497046898979345,0.020365058555580358,0.9226280527339529,0.9322994652406417,0.9270414511639368,0.0037667150346901357,9220.0,9350.0,,,,,,,,1.91,linear,25000,False,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.8,ridge,9828955,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0937251787132645,0.14800613496932516,0.12245257114798262,0.019697888216431713,0.37282780410742494,0.6040688575899843,0.4444584301128948,0.08304361003412113,0.14979371628054586,0.23775793039728982,0.19168825088830813,0.030769553521913177,0.6257123910877785,0.7338772816801151,0.6702045469772895,0.03982234881411459,0.09896546268855501,0.1385715548600341,0.11931834948690248,0.01620302892272347,0.708558461205965,0.7538994800693241,0.7273141786112277,0.015948679155072344,9220.0,9350.0,,,,,,,,,,,,1.5631799509132482,,,,,,,,,,,,,,,
random_under_bootstrap,standard,1.0,rf,28636559,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.17802261525079732,0.2816067653276956,0.2241225248068333,0.036694152093331545,0.9483240223463687,0.9702660406885759,0.961000155642987,0.008329948392875187,0.3008329250367467,0.435436417129781,0.3619185135077315,0.04759213085617106,0.9132817826581396,0.9343981272399438,0.9224893372351082,0.007620213219523121,0.412413932285452,0.46818085895186307,0.4309151419340463,0.022114099061044064,0.69475935828877,0.8129332755632582,0.7480092865641788,0.04193114557688692,6355.0,7033.0,True,,entropy,241,3,6,24,,,,,,,,,,,,,,,,,,,,
adasyn,standard,0.7,knn,18725926,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.2209779768570362,0.26064464783127733,0.24611392098102952,0.014826854236137683,0.9329608938547486,0.952449567723343,0.9422470852751068,0.007247836309742572,0.35748792270531404,0.4084814468350483,0.390076377438918,0.019099377951857392,0.9299672937678548,0.9439857953222177,0.9364009614470878,0.004501547544443166,0.5800852685527654,0.6503680044488738,0.6024889321537856,0.025654364665420978,0.7724064171122995,0.7942516268980477,0.7849990084036932,0.008286468395224412,19.0,19.0,,,,,,,,,,,,,minkowski,18,uniform,,,,,,,,,,,,
random_under,minmax,0.8,nb,240111,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10136270300541347,0.1358933088066222,0.11874713753342345,0.0112484961247676,0.8482003129890454,0.8703170028818443,0.8556961789422518,0.007971982125810323,0.18130217028380635,0.2343842950624628,0.20834831826113356,0.01734645721766752,0.6962996168261577,0.7753638927648763,0.7408851384928485,0.028762174547800324,0.11446081823509538,0.1897627814731664,0.15855900733448905,0.0275697254259309,0.47550802139037435,0.5817807625649913,0.5233600776964542,0.035068922827140976,9190.0,9313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.1,lr,6452426,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.1094969061070756,0.15809051456912585,0.13079368849769651,0.016173944745259884,0.6429699842022117,0.7348703170028819,0.6819559596540905,0.030993104786297493,0.1871264367816092,0.2602040816326531,0.21930905823175562,0.024302062468657615,0.6758271598152722,0.7669585977049204,0.7162205526157418,0.032513745844242894,0.11705740528248287,0.17168131514637008,0.1385911795847931,0.020159215145421225,0.605684028528204,0.6858752166377816,0.6435512917907922,0.02786079343499425,9220.0,9350.0,,,,,,,,,,,,,,,,balanced,,20000,none,saga,,,,,,,
random_under,standard,0.5,rf,18461102,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.29662605435801315,0.3940942646223736,0.34468546154095253,0.03630297165758874,1.0,1.0,1.0,0.0,0.45753523671846774,0.565376782077393,0.5115811506560772,0.040091646092590805,0.9939971715606644,0.9967608276983457,0.9953520878077228,0.0010296435693877162,0.9167358143001169,0.9465881076453084,0.929674377120425,0.012221437011554948,0.8394652406417112,0.8844237435008665,0.8598268272438787,0.017234176659078244,6483.0,7396.0,False,balanced_subsample,entropy,327,1,5,363,,,,,,,,,,,,,,,,,,,,
