uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RidgeClassifier_alpha,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,SVC_degree,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights
random_under_bootstrap,standard,0.3,nb,20847172,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10681916271040139,0.17223011363636365,0.13584492946932605,0.021803195305951227,0.5633802816901409,0.8371757925072046,0.7377312855209202,0.09858288819525499,0.1879627871653693,0.2763532763532764,0.22736934527024982,0.028467067690683558,0.6991843397287462,0.7817710010443226,0.7423620280889629,0.028220627736290523,0.11274005744982804,0.20203702592177056,0.1586369191477729,0.02897923418625111,0.5425668449197861,0.7388334778837814,0.6245339676259423,0.08798656475320799,9181.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,minmax,0.8,nb,9205486,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09434276206322795,0.12797305830351505,0.1105728275682059,0.01099199729660597,0.8760806916426513,0.9273743016759777,0.9018399656025935,0.01807623255859414,0.17070600632244468,0.22332415059687785,0.19676874693865265,0.017221041980183833,0.7007128305696719,0.7812339883470607,0.7409733593618198,0.02781545139738565,0.11261583935503847,0.20202990186108394,0.1576072032281477,0.02945588362885704,0.40263669764426196,0.541919410745234,0.4592731816574241,0.050464444538240526,9184.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,1.0,svm,20232681,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.07275132275132275,0.09880166299828809,0.08557647134494893,0.00845193690307191,0.5213270142180095,0.5821325648414986,0.5489784752647158,0.02085155126248758,0.1276842716192687,0.16893163286640184,0.14799666385772997,0.013364929503276748,0.5181223303740344,0.5859468401308812,0.5500023035236381,0.02232010670074728,0.06718247622816344,0.08515437775204225,0.07733546935082473,0.005942141708433664,0.5177540106951871,0.5694324090121318,0.5375900154685166,0.018320533401954324,9220.0,9350.0,0.95,sigmoid,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.3,nb,28514707,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10681916271040139,0.17223011363636365,0.13584492946932605,0.021803195305951227,0.5633802816901409,0.8371757925072046,0.7377312855209202,0.09858288819525499,0.1879627871653693,0.2763532763532764,0.22736934527024982,0.028467067690683558,0.6991843397287462,0.7817710010443226,0.7423620280889629,0.028220627736290523,0.11274005744982804,0.20203702592177056,0.1586369191477729,0.02897923418625111,0.5425668449197861,0.7388334778837814,0.6245339676259423,0.08798656475320799,9181.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,0.8,ridge,29714768,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6365968624436172,0.6688523036230716,0.6546532414450481,0.014732372166935235,0.10009051182569256,0.1268434604573592,0.11458385268841989,0.010029217224595906,0.9226280527339529,0.9322994652406417,0.9269330946950161,0.0037650229834366076,9220.0,9350.0,,,,,0.803258409605142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.7,nb,7534339,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09881494986326345,0.13516609392898052,0.11513543888182057,0.012013390394925296,0.8466353677621283,0.8847262247838616,0.8626888270339326,0.014910154779494148,0.1771820856489049,0.2332476774066021,0.2029186994610034,0.018561979665193476,0.6944247055154161,0.7802164151044019,0.7387936469407193,0.029357663118053715,0.11066249759104745,0.20444123246212026,0.15815081057925579,0.030806979117968696,0.4502917657229306,0.5798310225303293,0.5021399660027084,0.04607119752224463,9184.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,1.0,sgd,30620660,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.08177266827368812,0.14568026349125918,0.11249797550707626,0.02053396305186871,0.6899441340782123,0.8285302593659942,0.7596229479351828,0.06021738677727714,0.14636574842349817,0.24779142426201248,0.19557706441056152,0.032675864104801916,0.5687684050033156,0.7737056846388716,0.6817466147805684,0.07122329121085096,0.07720588338597592,0.16231592257596736,0.12417274027526497,0.02885359639146394,0.44983957219251336,0.6218587521663779,0.535744203475957,0.06257877617805085,9220.0,9350.0,,,,,,1.1313482826654062,False,0.6530756151892249,invscaling,modified_huber,l1,,,,,,,,,,,,,,,,,,,,,,,,
,standard,1.0,svm,19413083,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.01925925925925926,0.043478260869565216,0.03126915559618686,0.007974577753376694,0.018731988472622477,0.04225352112676056,0.0304984097156946,0.007799420879839653,0.01899196493791088,0.04285714285714286,0.03087819934272378,0.007884558210753463,0.3806817958754225,0.4462870311594776,0.42601364492212995,0.02489590779019209,0.0562126571439052,0.06298780055784574,0.059116394456173026,0.0025469134913441785,0.8527123406094662,0.8702673796791444,0.8603284527511195,0.007743144392391623,9220.0,9350.0,2.87,sigmoid,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,minmax,0.3,lr,23383108,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.058823529411764705,0.15151515151515152,0.10860456243394596,0.038979935544974344,0.002793296089385475,0.02034428794992175,0.01102311710105383,0.006919265255455584,0.005333333333333334,0.03547066848567531,0.019816844980523787,0.012039830983488918,0.6380312950978649,0.6928719412047042,0.6636709019037128,0.0207906253593944,0.0998621841155165,0.1343422613222946,0.116546480927046,0.011778537685337863,0.9186525129982669,0.9294117647058824,0.9221084620552317,0.003996253512735976,9220.0,9350.0,,,,,,,,,,,,,,20000,l1,saga,,,,,,,,,,,,,,,,,,,
random_under,standard,0.7,nb,25590857,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10473866178564165,0.1411530815109344,0.1223195462482453,0.011993278106324575,0.8135860979462876,0.8631284916201117,0.8318892145854037,0.01931813907630972,0.18558558558558558,0.24077999152183127,0.21303639892600454,0.01815397485314825,0.6969337393602341,0.7754401748953483,0.7409580824045539,0.028922262516929767,0.11468572463907908,0.18955309825368702,0.15871816951925913,0.027634347902475136,0.4869245731575535,0.612001733102253,0.5486691253302662,0.04370523208161642,9190.0,9313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
