uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RidgeClassifier_alpha,SVC_degree
random_over,standard,0.7,lr,23309550,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.11739659367396593,0.18127053669222343,0.14490833215182783,0.02142052277044322,0.30446927374301674,0.4769452449567723,0.3799075299422198,0.06657369515995604,0.16952129995608256,0.2626984126984127,0.2096416514818154,0.03233547812381551,0.6637995958913879,0.7547186910796488,0.7014552364366903,0.032992304167925895,0.11100487880530426,0.16521658989694427,0.13201759447293276,0.019173614714133556,0.7810195227765727,0.7987435008665511,0.7921839225106949,0.006422421487423857,9220.0,9350.0,,,20000,l1,saga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.7,svm,14309641,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.06781880073317623,0.0916642795760527,0.08162296140524214,0.007887048311519216,0.40916271721958924,0.4610951008645533,0.4380052537550532,0.017034862070335735,0.11635220125786164,0.15292712066905614,0.13752814522357876,0.012029057953831718,0.511084639500705,0.5467619585740777,0.5267544357147427,0.012640774110404063,0.06450953368069724,0.07994829508882965,0.07302894252316697,0.0051424269782686105,0.5792513368983957,0.6160095320623917,0.5982789963859645,0.012347214937838089,9220.0,9350.0,,,,,,2.21,sigmoid,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,minmax,1.0,knn,3204515,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,,,chebyshev,21,distance,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,1.0,sgd,23051215,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.08608160983789827,0.1652806652806653,0.10635218911846875,0.02980924475374462,0.4438040345821326,0.7541899441340782,0.6296938832062541,0.12300201707524172,0.1441947565543071,0.26648044692737427,0.18039930737918428,0.04429582183594223,0.5301630341095993,0.7476393043339725,0.6266351155675869,0.07483382359427221,0.0756797137156628,0.1461258744060294,0.10320250344429045,0.023965836117417875,0.39809811973200776,0.7155545927209706,0.5688723297945185,0.1053776302490196,9220.0,9350.0,,,,,,,,,,,,,0.9432635050138063,False,0.5140752856761548,invscaling,perceptron,l2,,,,,,,,,,,,,,,,,
random_under,standard,0.7,nb,2258085,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10473866178564165,0.1411530815109344,0.1223195462482453,0.011993278106324575,0.8135860979462876,0.8631284916201117,0.8318892145854037,0.01931813907630972,0.18558558558558558,0.24077999152183127,0.21303639892600454,0.01815397485314825,0.6969337393602341,0.7754401748953483,0.7409580824045539,0.028922262516929767,0.11468572463907908,0.18955309825368702,0.15871816951925913,0.027634347902475136,0.4869245731575535,0.612001733102253,0.5486691253302662,0.04370523208161642,9190.0,9313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.7,nb,2763186,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10473866178564165,0.1411530815109344,0.1223195462482453,0.011993278106324575,0.8135860979462876,0.8631284916201117,0.8318892145854037,0.01931813907630972,0.18558558558558558,0.24077999152183127,0.21303639892600454,0.01815397485314825,0.6969337393602341,0.7754401748953483,0.7409580824045539,0.028922262516929767,0.11468572463907908,0.18955309825368702,0.15871816951925913,0.027634347902475136,0.4869245731575535,0.612001733102253,0.5486691253302662,0.04370523208161642,9190.0,9313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.7,rf,19810004,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.6305372290292177,0.7339003645200486,0.6834394452678082,0.035835619707299246,0.946927374301676,0.9639769452449568,0.9568112672446389,0.005835427416764871,0.7623931623931625,0.8296703296703296,0.79670858992822,0.022984375033916638,0.9944132442409943,0.9963072647172518,0.9953336842472158,0.0006414931946343206,0.9584942048801356,0.968816237920354,0.9641159506936923,0.003344794978395688,0.9548310225303293,0.973475935828877,0.9640628755137802,0.006353131707302669,6963.0,7682.0,,,,,,,,,,,,,,,,,,,False,,entropy,229,8,9,144,,,,,,,,,,
random_under,minmax,0.8,svm,36234,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.13868116927260368,0.18646362098138747,0.16125260201451988,0.017464704091214055,0.6445497630331753,0.7939481268011528,0.713602060662408,0.04979235474743939,0.2282517482517483,0.3020005480953686,0.26298759174655884,0.026560160157739335,0.7500728996254165,0.8105840443435449,0.7798185343446912,0.021867022580474176,0.15244703964613196,0.20558884302445823,0.18542932887185298,0.019450963885488434,0.6911605792089907,0.7241117850953206,0.7077520094815808,0.011772568247529525,9212.0,9348.0,,,,,,2.93,rbf,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.5,xgb,4444624,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.5749792874896438,0.6224188790560472,0.5994904772826615,0.01638138056810187,1.0,1.0,1.0,0.0,0.7301420305102578,0.7672727272727273,0.7494705631187989,0.012815473453617662,0.9999652342502716,1.0,0.9999906819974453,1.3307294976494194e-05,0.9995446941410918,0.9999999999999999,0.999879294135542,0.00017432102381259167,0.9444324090121318,0.9589304812834225,0.9511033179166002,0.004802465254902812,9213.0,9344.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.1,aucpr,3,45,binary:logistic,44,38536,,
random_over,minmax,1.0,nb,11875953,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09191234431656944,0.12222662440570523,0.10683130597168733,0.009992212243410424,0.8890489913544669,0.9371508379888268,0.9159406238886166,0.017164341030692594,0.16714449541284404,0.21490769766631837,0.19114977455800167,0.015798949160524225,0.7010464743493902,0.7804353886979585,0.7408255447849961,0.027504430970567886,0.11243562464951641,0.2015406909872411,0.15743794524708288,0.02935148531760945,0.3786096256684492,0.5116984402079723,0.43127813471146376,0.04930050452144659,9184.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
