uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed
,minmax,0.3,rf,8972734,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.4737201365187713,0.5355329949238579,0.5008314641199089,0.020323875893507513,1.0,1.0,1.0,0.0,0.6428902269569244,0.6975206611570248,0.6671625535699978,0.017930259962757298,0.9933067930540992,0.9975693479774136,0.995247002657212,0.0016814410180468126,0.9126330768552766,0.9534086953473333,0.9327445877498821,0.015900066523694203,0.9164861351819757,0.941283422459893,0.9268867534564462,0.008277387888887615,5986.0,6734.0,False,balanced_subsample,gini,374,9,9,69,,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.3,knn,19070263,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,minkowski,2,distance,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.1,nb,29179123,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.07894736842105263,0.21806451612903227,0.161190039433473,0.04545837399019663,0.04739336492890995,0.5288184438040345,0.37425377607355376,0.1764406345133939,0.05923000987166831,0.3012477718360071,0.218579918008234,0.08387713356300944,0.6991094918846271,0.7792779930103967,0.7400428742129039,0.02775339469188209,0.11234371690892563,0.20010146117357885,0.15693752929111465,0.02891945657588295,0.7710179381888913,0.8980748663101604,0.8238984235211669,0.045603756203343344,9182.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.1,knn,24147355,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,manhattan,14,distance,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.5,sgd,20250225,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.19293078055964655,0.10492334054976973,0.06779668677465352,0.0,0.18876080691642652,0.06623823478673216,0.06643131656906735,0.0,0.19082301529497453,0.07770661684494137,0.06622072670517457,0.6384390977699435,0.7615405412520937,0.691876838074824,0.04196884453016837,0.09671499165552003,0.16656960494885645,0.1259781788524315,0.023350245383210202,0.879657712305026,0.9167914438502673,0.9015589913388533,0.012431016304531767,9220.0,9350.0,,,,,,,,,,,0.700293202432154,False,0.49677633663020393,invscaling,log,l2,,,,,,,,,,,,,,
smote,standard,1.0,lr,6486396,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10995463037096344,0.16062992125984252,0.13165531620627852,0.016724405005352053,0.65086887835703,0.7348703170028819,0.6826888948291367,0.02954480076218884,0.18812785388127856,0.26363401395709485,0.2205278026255558,0.024937261982750508,0.680176594678277,0.7690015074159058,0.7170386460755648,0.032221823618310684,0.11628495528176465,0.17066677854328097,0.13835325972374873,0.019670256410507167,0.6120596498811325,0.6913994800693241,0.6455250497607345,0.02841987492364499,9220.0,9350.0,,,,,,,,,,,,,,,,,balanced,,20000,l2,saga,,,,,,,,,
smote,standard,0.7,sgd,17155796,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.07504231709610683,0.13818973862536302,0.10125792598086299,0.022591806982589776,0.6061452513966481,0.8227665706051873,0.7020820137181506,0.07752218166781145,0.13411764705882354,0.23663489432242024,0.1767213418220245,0.03683816763633938,0.5173838351320615,0.7709362382648719,0.6340304404263997,0.09618433637688782,0.0706154050940394,0.1784581418938562,0.11233791551808503,0.03920385875505129,0.4412146098984223,0.6009532062391681,0.5119327776629795,0.06632122530167196,9220.0,9350.0,,,,,,,,,,,0.0,False,0.9607498282784706,optimal,modified_huber,l2,,,,,,,,,,,,,,
smote,minmax,0.3,lr,27005992,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.11000269614451334,0.1599749058971142,0.1319075894995328,0.016305535250773714,0.6445497630331753,0.7348703170028819,0.6824237022325819,0.029439487204340958,0.18793182865039154,0.2627511591962906,0.22088911522141852,0.02437177905531554,0.686808955298102,0.7690442051570772,0.7191185384241687,0.030373762145258568,0.11758264975840892,0.17102528924678023,0.1393370302560155,0.019027968870000682,0.6122757726388589,0.6899913344887348,0.6465572073158933,0.02758360968437607,9220.0,9350.0,,,,,,,,,,,,,,,,,balanced,,20000,l1,saga,,,,,,,,,
random_under,standard,0.5,ridge,6504908,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.12867647058823528,0.1958997722095672,0.1571549797122277,0.023927763431073293,0.04888268156424581,0.1239193083573487,0.08320788642538256,0.024566905739119224,0.0708502024291498,0.15180935569285084,0.1080110018078125,0.026323634274043314,0.652098374535923,0.7008292475139114,0.667241759854746,0.018471189043535306,0.10564294794761067,0.14035810031033108,0.11860255038983791,0.01269675401025196,0.8959055459272097,0.9048128342245989,0.9013315863192037,0.002997106108664771,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,0.312182164957846,,,,,,,,
random_over,minmax,0.7,xgb,14657017,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9999999999999999,1.0,1.0,4.965068306494546e-17,1.0,1.0,1.0,0.0,9203.0,9332.0,,,,,,,,,,,,,,,,,,,,,,,0,0.3,error,1,52,binary:logistic,6,45352
smote,minmax,0.3,nb,2937974,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.11731543624161074,0.1537777777777778,0.13151450898573008,0.012503785343348684,0.6903633491311216,0.797486033519553,0.7495395878496047,0.042943092501037956,0.200550711335475,0.25509953305480465,0.2235204350644316,0.01853830398808627,0.6982781914948565,0.7810290223128605,0.7395638131141309,0.028906871081795432,0.11266473357704017,0.2059164720430014,0.15823570369177492,0.03094938737671463,0.5519775232331965,0.6716854419410745,0.6179840009416643,0.03999754051017361,9182.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,1.0,rf,15942806,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.5681063122923588,0.6648879402347919,0.6269839444619361,0.03274544098357445,0.9842022116903634,0.9899135446685879,0.9863311093935506,0.0019065904170813,0.7207586933614331,0.7936305732484077,0.7661239076152548,0.024788445473885954,0.9978104785572484,0.9982757811405542,0.9979856188966798,0.00016863529937624725,0.9831545618232406,0.9847981272327841,0.9839356632880738,0.0006073327212211111,0.9425909878682842,0.9653475935828877,0.955722507690934,0.007532113853985529,8007.0,8534.0,True,,entropy,190,4,7,442,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.7,knn,30167847,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.1696588868940754,0.23777564717162034,0.20204593851864144,0.026413835839699154,0.5868544600938967,0.7146974063400576,0.6386520259374444,0.04925732757674088,0.26424327158336247,0.35683453237410073,0.30677562827969734,0.03609649995301656,0.7740182291652509,0.84083286247682,0.8050675194414477,0.02656188823608426,0.2098933617037597,0.33268926935579013,0.27622350579413235,0.04936793529423767,0.7748663101604278,0.8063258232235702,0.7887640858113941,0.012738729609145464,7.0,7.0,,,,,,,,minkowski,6,uniform,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,1.0,sgd,5578747,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.08194395175594182,0.1499334221038615,0.12171622366709349,0.023358299597882326,0.6634078212290503,0.8573487031700289,0.7482079531739739,0.07506854036486231,0.14734492106522087,0.2530905821532929,0.20813518561670558,0.03523736802800014,0.5998443962252764,0.7734866266624274,0.7013381836584147,0.0585110455272277,0.08779764165668064,0.16877128779264652,0.13039727187256558,0.02731964235584936,0.4281283422459893,0.6744362532523851,0.5701394229346349,0.09906179758048064,9220.0,9350.0,,,,,,,,,,,0.41434899356099675,True,0.5409060588220981,invscaling,huber,elasticnet,,,,,,,,,,,,,,
,standard,0.1,lr,22660859,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10939989378651088,0.15846487155679356,0.13076754749775307,0.01601098181764456,0.65086887835703,0.7377521613832853,0.683475514561304,0.029430486069056024,0.18731529893157534,0.26089171974522296,0.21934316820849814,0.024001250539471695,0.6794345947332399,0.7673224567166416,0.7158672338017947,0.032086550204711774,0.1160487528840515,0.17113483403993962,0.13820117774395396,0.01986047581587336,0.6095742381672791,0.6857668977469671,0.64286595718932,0.027581070216027456,9220.0,9350.0,,,,,,,,,,,,,,,,,balanced,0.9987121088469432,20000,elasticnet,saga,,,,,,,,,
random_under,standard,0.3,sgd,16140044,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.007312614259597806,0.08662778137826745,0.05997813041344051,0.02923163136966308,0.005763688760806916,0.6697965571205008,0.3435897157152753,0.26615768637545106,0.0064464141821112,0.15066691715198197,0.09654157886642413,0.05540201738714199,0.4165049890538518,0.5726802099156268,0.4980360117107909,0.05380225590164178,0.05816897034164347,0.08887968018279108,0.07013933499355055,0.011917200019041388,0.3741326973113617,0.86644280762565,0.6437853292475761,0.19170644851935026,9220.0,9350.0,,,,,,,,,,,0.6489567336280695,True,0.8804858323220818,constant,squared_epsilon_insensitive,l2,,,,,,,,,,,,,,
