uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,RidgeClassifier_alpha,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights
,standard,0.1,lr,11717905,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10937085213697903,0.1583178726035869,0.13071836354992614,0.015969473888804497,0.65086887835703,0.7377521613832853,0.683475514561304,0.029430486069056024,0.18727272727272729,0.26069246435845217,0.21927511523527898,0.023946101182075356,0.6794975731236366,0.767159597743399,0.7158410331164629,0.0320103589196373,0.1160459593429513,0.17103197615676174,0.13817559902696003,0.01982382606961244,0.6094661767884159,0.6854419410745234,0.6427362712307574,0.02752510938342109,9220.0,9350.0,balanced,,20000,l2,lbfgs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,standard,0.5,nb,6207996,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10197628458498023,0.13839069316529326,0.11780974310706223,0.012068049123147429,0.8151658767772512,0.8729050279329609,0.8419013190766458,0.022873038849456195,0.18127525030739505,0.23692946058091285,0.20644441414910442,0.018373562633553445,0.6932963697345765,0.7790099929590919,0.7367589500548463,0.0296343644659591,0.10958618261145488,0.20068219241117066,0.15541340359505634,0.03009214811104349,0.45958504430516534,0.6016031195840554,0.5245076435913855,0.04675194794068327,9184.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,1.0,nb,4942625,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09191234431656944,0.12222662440570523,0.10683130597168733,0.009992212243410424,0.8890489913544669,0.9371508379888268,0.9159406238886166,0.017164341030692594,0.16714449541284404,0.21490769766631837,0.19114977455800167,0.015798949160524225,0.7010464743493902,0.7804357262295092,0.7408256465797416,0.02750443975344736,0.11243562464951641,0.20154083012269958,0.15743788887275273,0.02935145809884053,0.3786096256684492,0.5116984402079723,0.43127813471146376,0.04930050452144659,9184.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.1,sgd,15595419,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406842252822244,0.5614983370748011,0.47733973280977937,0.056029813577727405,0.05408006044272581,0.07911545578908133,0.06788137316279394,0.009600681903934006,0.9223038685973634,0.9322994652406417,0.92691153841471,0.0038841664544695437,9220.0,9350.0,,,,,,0.0,True,0.006899621128555911,optimal,hinge,l2,,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.5,nb,20520214,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10445962233828847,0.14195663136661624,0.12042350518022746,0.012391643216486422,0.8112391930835735,0.8631284916201117,0.8367382406641832,0.021996340205811385,0.18535020495455357,0.24163090128755366,0.2102539973303788,0.018543395244381127,0.6997802228073523,0.7827747354934003,0.741025392151397,0.028652826409428907,0.11252784672727131,0.20703439221759326,0.16077380302159666,0.030887727817292873,0.47838772422736114,0.6172010398613518,0.5380838240556818,0.04669032077994227,9184.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.7,xgb,16064424,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.9733520336605891,0.9891640866873065,0.9827452610354251,0.006200413069262132,1.0,1.0,1.0,0.0,0.9864960909737028,0.9945525291828794,0.9912876722299304,0.0031590893380703386,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9979419410745234,0.9992411101474414,0.9987022929085001,0.000510406135764568,9211.0,9344.0,,,,,,,,,,,,3,0.3,aucpr,0.5,60,binary:logistic,36,57372,,,,,,,,,,,,,,,
smote,minmax,0.7,lr,16159852,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10934182590233546,0.16040100250626566,0.13119575189688215,0.016842521594528856,0.65086887835703,0.7377521613832853,0.6826552353926919,0.030325118482945477,0.1872301749602363,0.2635100360267627,0.21987979587982434,0.025170923824432687,0.6806868014306073,0.7689883436854261,0.7165972313959148,0.03246670563467971,0.1159688168855772,0.17097788886086615,0.13834410371776143,0.01965785581509877,0.6097903609250054,0.6899913344887348,0.6441451936672241,0.02885784310534051,9220.0,9350.0,balanced,,20000,l2,lbfgs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.7,sgd,10343903,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.03225806451612903,0.17423133235724744,0.10784178198625838,0.04815617644163859,0.009389671361502348,0.6858789625360231,0.43194752994806124,0.24397400500448252,0.014545454545454547,0.27787507297139524,0.16626568963828758,0.08938330949409846,0.6022181806998879,0.7354427312015932,0.6777089632619218,0.05887738915965172,0.09293132208890573,0.14461767245933105,0.12165404064970442,0.020862946763393383,0.6249197860962566,0.9118603642671292,0.734108409486561,0.09655268218043708,9220.0,9350.0,,,,,,1.9623214395840327,True,0.3626724278218716,constant,huber,l1,,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.3,svm,28369419,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.04658901830282862,0.07280832095096583,0.05815754049626347,0.008975344776758024,0.04381846635367762,0.06843575418994413,0.05385930571372501,0.00852268193700917,0.04516129032258065,0.07055435565154787,0.05591915517999212,0.00872581930866621,0.43060839638230597,0.5080826629815312,0.4742234371999873,0.0279732729410928,0.05812333120012982,0.0783042893218824,0.06823471188298902,0.0070593308658265,0.8604927598876162,0.8787165775401069,0.867346768169447,0.006897291776363318,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,1.33,sigmoid,25000,False,,,,,,,,,,,
,standard,0.5,rf,14248369,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.6946946946946947,0.7902621722846442,0.7436930671170214,0.03879029525187131,1.0,1.0,1.0,0.0,0.8198464264619019,0.8828451882845189,0.8524379985085542,0.025675520149246525,0.9997345314353259,0.9999917970256014,0.9999078611441385,9.384336405620127e-05,0.9948601005210005,0.9998899965343091,0.9984500704203076,0.0018605936022069696,0.9669197396963124,0.9820320855614973,0.9744169273774034,0.006064850095643776,3852.0,4747.0,,,,,,,,,,,,,,,,,,,,,,,,False,balanced_subsample,entropy,399,5,6,53,,,,
