uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose
random_over,minmax,0.3,ridge,20895090,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.1568627450980392,0.09283088235294117,0.061081190138496014,0.0,0.014084507042253521,0.007130813149954093,0.005544495636355335,0.0,0.025604551920341393,0.013191254285740531,0.010155217296113699,0.6374091337204761,0.6711490856607821,0.6563513855938368,0.014959286738783455,0.0998942671234235,0.1269348245308855,0.11429708035605005,0.010195334846516833,0.9202507023989626,0.9300534759358289,0.9235802418454334,0.0037871335043694423,9220.0,9350.0,0.18412869773570983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.1,xgb,1245747,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.5823367065317387,0.6622137404580153,0.6258651593889233,0.028670852841845805,1.0,1.0,1.0,0.0,0.736046511627907,0.7967853042479909,0.7695014484806,0.0217917435532313,0.9976085045799655,0.9988277022473306,0.9981557969015249,0.00040674602267538944,0.934675675147959,0.9693941826020356,0.9474566616424772,0.01167242846025085,0.9514438502673797,0.9616052060737527,0.9563675110631784,0.0036947046926506665,9200.0,9338.0,,1,0.7,error,0.5,63,binary:logistic,62,12843,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.3,knn,26745795,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.28114478114478114,0.3354480570975416,0.3055524522454869,0.020078387297134237,0.49441340782122906,0.6095100864553314,0.5509945090700354,0.03857949885580939,0.3668314113124657,0.43273657289002554,0.39274919552979204,0.023990312235712432,0.8590907588945116,0.8926298635764979,0.8743367253746122,0.01246987499633976,0.32224425513519983,0.41971656355320863,0.36935888212410545,0.03417675696234134,0.8730485689505637,0.8798743500866552,0.8760139321116769,0.002282526402415608,16.0,16.0,,,,,,,,,,euclidean,15,uniform,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.3,xgb,18165043,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.2901008249312557,0.3938706015891033,0.3430015785593886,0.03536640353272235,1.0,1.0,1.0,0.0,0.4497335701598579,0.5651465798045603,0.509763130072881,0.03932848925623675,0.9835935567708477,0.9895886286370751,0.9865862680434484,0.002114635209135769,0.6962972697053529,0.769462172895203,0.7325884400496683,0.023827414380779264,0.834331550802139,0.884315424610052,0.8588417420599533,0.017052245426944623,9208.0,9347.0,,1,0.7,error,1,35,binary:logistic,21,19409,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.8,rf,4742937,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.2069767441860465,0.30266666666666664,0.25240570740705326,0.037677044374394064,0.979050279329609,0.9859154929577465,0.9826289858445352,0.0023639776497045273,0.3420258029096898,0.46263586956521735,0.4001765116858865,0.04735187936101998,0.9311323717650735,0.946269454815614,0.9390074457547612,0.006063262151977531,0.4341124472200604,0.545140099384567,0.49753776295321916,0.040033428666531846,0.7436363636363637,0.8286395147313691,0.7816621678494788,0.0347549041496283,8657.0,9197.0,,,,,,,,,,,,,False,balanced_subsample,entropy,114,5,9,153,,,,,,,,,,,,,,,
adasyn,minmax,1.0,rf,17610750,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.7100103199174407,0.8077922077922078,0.7567134587443043,0.03361540371603612,0.9826224328593997,0.9913544668587896,0.9877176957682945,0.003139570997653887,0.8274203247143717,0.8866714183891661,0.8564583357579334,0.020620317691254268,0.9987819494459802,0.9991438512214929,0.9989672261487821,0.00015471115337407026,0.9891596685655593,0.993242630091781,0.9913708828131398,0.0013858130973234087,0.9689124783362218,0.9829946524064171,0.9756281524161933,0.004810563774097204,3841.0,4669.0,,,,,,,,,,,,,False,balanced_subsample,gini,476,5,8,15,,,,,,,,,,,,,,,
smote,minmax,0.5,sgd,8605650,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10897435897435898,0.1874180865006553,0.1487582419697862,0.025419442916020975,0.0712290502793296,0.20605187319884727,0.1510327013734048,0.048339830990909924,0.08614864864864864,0.19629375428963622,0.14857002529991123,0.037506897397604655,0.6532146460581745,0.731066167660022,0.685917196265725,0.02920599818481148,0.10631402130211876,0.15214173523369431,0.12477384610598123,0.015855688709498616,0.8614967462039046,0.8884491978609625,0.877082042319631,0.00925266859541905,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,0.4402355982651589,True,0.8057333920974097,adaptive,log,elasticnet,,,,,,,,,
random_over,standard,1.0,xgb,18951941,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.5043604651162791,0.544750430292599,0.5277691797343859,0.014384461797785382,1.0,1.0,1.0,0.0,0.6705314009661836,0.7052924791086351,0.6907852230885199,0.01237390436765256,0.9999466700149796,0.999998364197652,0.9999809139710554,1.8407329899776376e-05,0.999290899650194,0.9999803838277639,0.9997422425720834,0.0002470418818453998,0.9261265164644714,0.9434224598930482,0.9345493439558172,0.005837924973938263,9206.0,9330.0,,3,0.1,error,3,39,binary:logistic,71,3993,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,0.8,lr,23790813,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10939989378651088,0.15846487155679356,0.13076754749775307,0.01601098181764456,0.65086887835703,0.7377521613832853,0.683475514561304,0.029430486069056024,0.18731529893157534,0.26089171974522296,0.21934316820849814,0.024001250539471695,0.6794347583134747,0.7673243131401708,0.7158672319828774,0.03208698135636056,0.11604874451674557,0.1711349852443754,0.13820098255729482,0.019860388407800147,0.6095742381672791,0.6857668977469671,0.64286595718932,0.027581070216027456,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,balanced,,20000,l1,saga,,,,
random_under_bootstrap,standard,0.7,lr,9969809,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10123042505592841,0.18704225352112677,0.13986045974611663,0.02905929019199978,0.2859399684044234,0.5790297339593115,0.4058630660986224,0.10865645413132852,0.14952498967368857,0.2689347914135278,0.20709982231442808,0.04346108180830627,0.6264924034875108,0.7588077170513513,0.6910163101807223,0.04931286231181572,0.0991476185966203,0.16952690817723703,0.12896998370600543,0.02427876189791272,0.7518430182133564,0.8044844020797227,0.7760193308573065,0.017499340103777832,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22595639220557617,20000,elasticnet,saga,,,,
