uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,RidgeClassifier_alpha,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,SVC_C,SVC_degree,SVC_kernel,SVC_max_iter,SVC_verbose
random_over,minmax,0.5,knn,21612324,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,euclidean,15,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.1,knn,2308262,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.48314606741573035,0.5877862595419847,0.5412005265991526,0.04787107253596346,0.030726256983240222,0.13112391930835735,0.07749743892469482,0.03792855726427474,0.05827814569536423,0.2143698468786808,0.13275549252487567,0.05913253357177806,0.8383653557057708,0.8846957625614055,0.8580076758001466,0.017555700974225912,0.2772673999931606,0.38752964275439333,0.3316984114879462,0.04054816795620384,0.9231683596282688,0.9320855614973262,0.9281255215041891,0.003045577301428205,15.0,16.0,manhattan,19,uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.3,nb,16349943,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11778846153846154,0.1556477912837237,0.1312348286261053,0.013304207614068364,0.6966824644549763,0.80835734870317,0.756480311264127,0.046223976881717116,0.20150788211103493,0.25817555938037867,0.22338187020716896,0.01969154607459067,0.7007258791042398,0.7832457607724883,0.740100531482897,0.02907861410952828,0.11368267337097859,0.20930165056129188,0.1591357812556213,0.031839551904078486,0.5433326129241409,0.6732019064124783,0.6137637974387393,0.043409666468523775,9185.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,0.1,ridge,13039802,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6365963187546768,0.6688530327763513,0.6546533416107565,0.014732484625379391,0.10009033107906368,0.1268434402000627,0.1145841358877862,0.010029389743954101,0.9226280527339529,0.9322994652406417,0.9269330946950161,0.0037650229834366076,9220.0,9350.0,,,,4.059111307714408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.5,nb,32786462,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10356933879461673,0.1412373675129406,0.1194144905736616,0.012571713229174976,0.8256484149855908,0.8729050279329609,0.8483945668051218,0.018921642711343972,0.18437499999999998,0.2412123763418228,0.20906124851845642,0.01889925620460297,0.7010800018340441,0.7805999353289549,0.7409341827289897,0.027476633828806326,0.11281483656492661,0.20008455750752063,0.1569691422652856,0.02876660444302721,0.45915279878971255,0.6095103986135182,0.5278567148131088,0.0506332340199014,9180.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,1.0,nb,17759362,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09423819922728036,0.12696747114375656,0.11026718890335101,0.010774818269974484,0.8717579250720461,0.9134078212290503,0.8917155689578946,0.016703681714038587,0.1703613726085636,0.22165231727422602,0.1960624481644447,0.01695190823904592,0.6956543486688047,0.7803340448498424,0.7390684395602368,0.02912363172481876,0.11114038187525134,0.20507413064268645,0.1584177573523134,0.030811638363676997,0.4149556948346661,0.5397530329289428,0.4633290662206343,0.0462831902080089,9185.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.8,sgd,30423170,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09166666666666666,0.15804353972292903,0.13410909080996627,0.024366571674017765,0.017377567140600316,0.8054755043227666,0.5521579516426651,0.27536577996542516,0.029216467463479414,0.2642401323564169,0.19663684268285178,0.08560224925063945,0.6074259572685865,0.7776666173870601,0.7111074905049122,0.056920101088778575,0.08901446910811543,0.17234081834274348,0.13589070573703832,0.027792223696029496,0.6439722463139635,0.9218181818181819,0.7239855428271629,0.10184856861996802,9220.0,9350.0,,,,,0.4288651073709986,True,0.6983608337133587,invscaling,hinge,elasticnet,,,,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.3,rf,2942930,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,0.994413407821229,0.9985590778097982,0.9967602386269725,0.0013334201186590451,0.9971988795518207,0.9992790194664743,0.9983770441950318,0.0006691421658120351,0.9999999999999999,1.0,1.0,7.021666937153402e-17,0.9999999999999999,1.0,1.0,4.965068306494546e-17,0.9995677544845473,0.9998916811091855,0.9997623572877122,0.00010585011214041545,1253.0,1370.0,,,,,,,,,,,False,,gini,108,2,3,327,,,,,,,,,,,,,,,,,,
smote,standard,0.7,lr,15139958,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11028434759500398,0.16040100250626566,0.13172943585232452,0.01634323639219517,0.655608214849921,0.7377521613832853,0.6853127397813463,0.028325378143078287,0.18880800727934485,0.2635100360267627,0.22077469522950138,0.024362969296152944,0.6825346037628688,0.7689959381453183,0.7174906439819576,0.03158734917419137,0.11637099052464235,0.17029795234072012,0.1384251296661204,0.019296194477773455,0.6143289388372596,0.6899913344887348,0.6448109423129753,0.027619079672987035,9220.0,9350.0,,,,,,,,,,,,,,,,,,balanced,,20000,none,saga,,,,,,,,,,,,,
random_under,standard,0.7,sgd,12784390,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10443571027512634,0.1834916864608076,0.13932424646214564,0.025998606566808597,0.23324022346368714,0.4452449567723343,0.34275622210597617,0.07276976824245203,0.15410107705053852,0.2598822539949538,0.19741616009740676,0.03764588221305721,0.6456012574437812,0.7395817911781627,0.6886505299524355,0.03406494018940353,0.10207197917020548,0.15922067089326442,0.1275384673777386,0.019416905358009568,0.7816042780748663,0.8145666738707585,0.7980493612466982,0.012936271249422667,9220.0,9350.0,,,,,1.7432915340069626,True,0.3970782275780448,adaptive,squared_loss,l2,,,,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.8,nb,23670865,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.14285714285714285,0.23205741626794257,0.18609112692483434,0.0291854182941015,0.02843601895734597,0.4783861671469741,0.2891743168720334,0.16636334835150976,0.04743083003952569,0.29876796714579057,0.20567888300053178,0.08815681383798908,0.7005602352070848,0.7811126457545619,0.7410883245637329,0.027868124841598216,0.1132479093181952,0.2008867418713866,0.15771001397471543,0.02894205910953202,0.8039045553145336,0.9226737967914439,0.8585978666707683,0.04442151820168572,9187.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,standard,0.3,nb,24283071,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11326703856415232,0.15262090935418476,0.1290094762680259,0.013536571365403857,0.7377567140600316,0.8112391930835735,0.7723870094539061,0.03146025962047213,0.19638351555929354,0.25415963346997833,0.2208028571309751,0.019909128865094185,0.6949149317099506,0.7800704327086974,0.7379489783753288,0.029627619320434073,0.11031002332244844,0.20146464140725173,0.15652756788399547,0.030255285830963864,0.5459260860168575,0.6649696707105719,0.5997868453798263,0.0383488991728967,9184.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.3,rf,13073840,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.7826649417852523,0.922824302134647,0.8556814583092912,0.05759949592420947,0.8533519553072626,0.8948126801152738,0.8777644852500932,0.014387554553661459,0.8248125426039536,0.9049919484702094,0.8654120227846175,0.028941419052583746,0.9921781889740892,0.9955850645748415,0.9940328095191664,0.0013558572574520638,0.9280056139227034,0.9601356119908654,0.9459329581692121,0.011471868889762071,0.9721258134490238,0.9873796791443851,0.9797536323638558,0.005662914854727914,7260.0,7857.0,,,,,,,,,,,True,,entropy,456,7,4,91,,,,,,,,,,,,,,,,,,
adasyn,standard,0.8,rf,3156739,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.49816581071166544,0.5622119815668203,0.5307934085226562,0.022533855964892543,0.9636650868878357,0.978386167146974,0.9701848255780131,0.006766507166126371,0.6601847350510451,0.710128055878929,0.6858174340784424,0.017626240625889498,0.9926804388137946,0.993933080134857,0.993589171759024,0.0004755963700215999,0.9518259242252443,0.9584418012489251,0.9541478213840417,0.00255291611974473,0.9242850953206239,0.9467379679144385,0.9348863735824036,0.00738188521976289,8478.0,8943.0,,,,,,,,,,,True,balanced,gini,116,5,7,227,,,,,,,,,,,,,,,,,,
,standard,1.0,knn,32418278,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,manhattan,3,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.5,nb,16566739,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10445962233828847,0.14195663136661624,0.12042350518022746,0.012391643216486422,0.8112391930835735,0.8631284916201117,0.8367382406641832,0.021996340205811385,0.18535020495455357,0.24163090128755366,0.2102539973303788,0.018543395244381127,0.6997802228073523,0.7827747354934003,0.741025392151397,0.028652826409428907,0.11252784672727131,0.20703439221759326,0.16077380302159666,0.030887727817292873,0.47838772422736114,0.6172010398613518,0.5380838240556818,0.04669032077994227,9184.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
