uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,RidgeClassifier_alpha,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,SVC_degree
random_over,minmax,0.8,lr,22993695,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11883691529709228,0.18193604148660328,0.1439298143389432,0.021586906727254305,0.43854748603351956,0.6066282420749279,0.5056540756558754,0.06143222728820848,0.187624750499002,0.27992021276595747,0.22399895348787885,0.032007490354079106,0.6707596077215106,0.7639788691747963,0.7092659987092883,0.03349170816517926,0.11365770225427015,0.17015934638062863,0.13553276815731657,0.02012585292402174,0.7259563432029392,0.7653812824956673,0.7439716157827571,0.012953548374225533,9220.0,9350.0,,,20000,none,saga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,0.1,ridge,27613403,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6365968624436172,0.6688523036230716,0.654653207691893,0.014732342781110162,0.10009051182569256,0.1268434267061701,0.11458384593818205,0.010029208973183152,0.9226280527339529,0.9322994652406417,0.9269330946950161,0.0037650229834366076,9220.0,9350.0,,,,,,0.7587258442511396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.3,rf,16835642,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.25736497545008186,0.3445167751627441,0.30168929264783995,0.03189916598739379,0.9832402234636871,0.9936808846761453,0.9885823473016371,0.003778409878183238,0.4088397790055249,0.5113340765514678,0.4613555364130069,0.03736938078790667,0.9567883180156801,0.9615976190773926,0.9596768660613956,0.0015986357514112188,0.5639989014824027,0.6179335064709985,0.5924512307661332,0.018045004512120513,0.8054545454545454,0.8575606585788561,0.8304563623444745,0.0200693109529343,8853.0,9223.0,,,,,,,False,balanced,gini,214,7,7,292,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.7,ridge,32859221,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10451977401129943,0.1830649970184854,0.13968804110917993,0.025929783324308484,0.2360335195530726,0.4423631123919308,0.344876859829961,0.07245853725546579,0.15397419891801914,0.2589624630957402,0.19817957074096268,0.03751277661709606,0.6462408168672606,0.7387861236117225,0.6901544111273467,0.03339969372528525,0.10235151900518788,0.1587755205014344,0.12812630118451568,0.01922650278944573,0.7825668449197861,0.8128376918089475,0.7977658794969139,0.01213591438966075,9220.0,9350.0,,,,,,3.637472859595246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,1.0,rf,28474942,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.47697594501718216,0.515850144092219,0.49933930527128967,0.014204778500003337,1.0,1.0,1.0,0.0,0.645881805490926,0.6806083650190113,0.6659590493996588,0.012674456250456328,0.9920945047838347,0.99735694683139,0.9947269949871298,0.0020345871246795788,0.9002177045465506,0.9529185797608097,0.9255958151442002,0.02059719848800511,0.9175693240901213,0.9358288770053476,0.926682884444778,0.006205313753147315,3929.0,4946.0,,,,,,,False,balanced_subsample,gini,454,9,8,18,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,1.0,sgd,33438300,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07481266618322456,0.11062906724511931,0.0974867381249376,0.01442014272477321,0.40502793296089384,0.9778830963665087,0.7425795991267452,0.19480726336876406,0.13899180419894466,0.19462272333044234,0.16977460337008035,0.022196316680600254,0.5987369242309484,0.7077283859981437,0.6535621930118858,0.04105342298509014,0.09007397821148203,0.14116342885326713,0.11530326421467182,0.017824985578222218,0.17978609625668449,0.6898638426626323,0.4640190032336037,0.16326931129358965,9220.0,9350.0,,,,,,,,,,,,,,0.7785083411279599,True,0.7560444383417342,constant,perceptron,elasticnet,,,,,,,,,,,,,,,,
random_under,standard,0.1,xgb,14962186,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.709211986681465,0.8072153325817362,0.7437425812510018,0.03506379040918099,1.0,1.0,1.0,0.0,0.8298701298701299,0.8933250155957579,0.8525857846243661,0.022676603646088294,0.9996386724749096,0.9998435082000072,0.9997603334145057,7.317859550608896e-05,0.9906749804736391,0.9953225256207269,0.9935547223722161,0.0017692888033607845,0.9715958369470945,0.9815215042143938,0.9748496591251665,0.0035129619486496096,9205.0,9340.0,,,,,,,,,,,,,,,,,,,,0.5,0.1,aucpr,1.5,21,binary:logistic,99,25407,,,,,,,,
smote,standard,0.5,ridge,23998950,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07692307692307693,0.1858974358974359,0.13857693027717202,0.03601346812680321,0.018156424581005588,0.08357348703170028,0.05994076801575663,0.02212942365015251,0.029378531073446335,0.11530815109343935,0.08314942508538511,0.02886326050197706,0.6397672938843513,0.6736113783235889,0.659239162981852,0.014633525010373965,0.09996194608891815,0.12637530020133117,0.11402437047734919,0.00978420148494076,0.9019522776572668,0.9083422459893048,0.9057613325748456,0.0025209087700415593,9220.0,9350.0,,,,,,1.9373618729855653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.7,rf,3880282,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.25442122186495175,0.36278097229482487,0.30738032059715814,0.03630202040653704,1.0,1.0,1.0,0.0,0.4056392181992951,0.5324127349443805,0.46904563372691055,0.04242768575871803,0.9613353578023192,0.9649415779049164,0.9624613448581766,0.0013539174385568014,0.5761636416791115,0.6446450778097144,0.6088462621521332,0.022697127111579594,0.8016042780748663,0.8679592720970537,0.8333020485269517,0.0227644777254965,7910.0,8574.0,,,,,,,True,,gini,268,1,4,271,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.5,knn,13902826,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,chebyshev,2,distance,,,,,
