uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RidgeClassifier_alpha,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SVC_degree
adasyn,standard,1.0,knn,23581340,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,euclidean,9,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.1,rf,1260574,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.8838174273858921,0.9470899470899471,0.9154262043256558,0.021847459602348466,1.0,1.0,1.0,0.0,0.9383259911894273,0.9728260869565218,0.9557100517942313,0.011916516737629557,0.9999804231700559,1.0,0.9999960170326885,7.79803021425552e-06,0.9997484533338433,1.0,0.9999488601632031,0.00010021632014880015,0.9908933217692975,0.9956775448454722,0.9933023262792847,0.001598421738155951,1883.0,2162.0,,,,False,balanced_subsample,gini,260,1,5,56,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.7,svm,31476124,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.16955995155429957,0.22677364864864866,0.19963011517694684,0.02192588922740182,0.6619718309859155,0.7737752161383286,0.7010407592601856,0.04096158173622326,0.270096463022508,0.35075114304376226,0.310535084121594,0.030189091130335008,0.8009754142048885,0.8488370012886954,0.8211556067657332,0.01841279082466295,0.19946266386422795,0.2563146924901606,0.23122117553448823,0.022731544997414223,0.7519991355089691,0.7913232104121475,0.7722011794611329,0.015273989225404213,9207.0,9338.0,,,,,,,,,,,1.81,rbf,25000,False,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.8,knn,20090921,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.17836010143702452,0.2315648982315649,0.2075332956002544,0.018085962650747443,1.0,1.0,1.0,0.0,0.30272596843615496,0.37604985098889193,0.34335742671227953,0.024942690468658765,0.990968801313629,0.9971320408397385,0.994076008797894,0.002326193478609796,0.9091981132075472,0.9633967789165447,0.9363031626720104,0.020329115773775313,0.6881283422459893,0.7505415944540728,0.7199486673668304,0.021431763425800308,6415.0,7394.0,euclidean,9,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.8,knn,13098990,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.18427947598253275,0.22532467532467532,0.20793262135597876,0.014586650782816865,1.0,1.0,1.0,0.0,0.3112094395280236,0.3677795442501325,0.34403592598275295,0.02008972760358185,0.9997071913797142,1.0,0.9999065087803762,0.00010870185585781996,0.9965325936199723,1.0,0.9988614336955308,0.001282773625450126,0.6995893667603199,0.7415511265164645,0.7212441373011582,0.017782925338751948,7245.0,7826.0,manhattan,23,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,minmax,0.5,rf,6325413,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.920911528150134,0.9684931506849315,0.9480539527085089,0.018900192135242078,0.9874301675977654,0.9956772334293948,0.9914624318020783,0.0029007023866348706,0.9541666666666667,0.9778699861687413,0.9691634464512754,0.009499257221129265,0.9997120183659274,0.9999126838947358,0.999838740016445,7.41107955493351e-05,0.996927303202007,0.9989730028575349,0.9981754534769275,0.0007493966654693061,0.9928416485900217,0.9967914438502674,0.9953496757134627,0.0016058927510431045,6545.0,7262.0,,,,False,,entropy,58,7,5,382,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.5,rf,1980489,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.18601895734597157,0.30850047755491883,0.24306161196775408,0.04036697579476196,0.930835734870317,0.9921011058451816,0.9764508295757901,0.022988438368091033,0.31329508605637313,0.4634146341463415,0.38706931226404484,0.04951816406826548,0.9185004841550013,0.9456687276343156,0.9304129923431328,0.010538109194991938,0.404101611604578,0.5559752254994222,0.4716225118157463,0.05245565862167052,0.7055614973262032,0.8379549393414212,0.7690036897940501,0.045256232443731295,8544.0,8958.0,,,,False,balanced,entropy,11,3,2,269,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.3,sgd,20158148,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6251110711197692,0.6666626162880576,0.6472605381832226,0.013671059779706035,0.09899091241888827,0.12273542085532496,0.11018703919951574,0.008680153074280408,0.9226280527339529,0.9322994652406417,0.9270414511639368,0.0037667150346901357,9220.0,9350.0,,,,,,,,,,,,,,,0.339821950116068,True,0.5098233081164552,adaptive,hinge,l1,,,,,,,,,,,,,,,
adasyn,standard,0.5,xgb,11643792,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.5452218430034129,0.5938086303939962,0.5739623192298428,0.017645338085631096,1.0,1.0,1.0,0.0,0.7056874654886802,0.7451442024720424,0.7291609440591477,0.014326604536024181,0.9997374004535075,0.9999573055587181,0.999871114997083,7.882263610916297e-05,0.9964890098308902,0.9994860444682454,0.9982369854720258,0.001064347236064182,0.9419410745233969,0.9536898395721926,0.9457456265868478,0.004444242970608341,9216.0,9341.0,,,,,,,,,,,,,,,,,,,,,3,0.1,aucpr,3,20,binary:logistic,9,2331,,,,,,,
random_under,standard,0.8,ridge,23395758,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09942418426103647,0.17597765363128492,0.13414274218067238,0.024520084739510208,0.3924581005586592,0.5446685878962536,0.4615589820084736,0.0559189162616791,0.1599752933909821,0.2660098522167488,0.2074729441444303,0.03447224913581726,0.6428746574080064,0.7381969780856792,0.6900424121672755,0.03244279174715005,0.10109342243735826,0.15764823793760238,0.12770863084231784,0.018572478593254713,0.7090909090909091,0.7737527114967462,0.7408402563196141,0.02128010486402363,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.280328030504692,,,,,,
