uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SVC_C,SVC_degree,SVC_kernel,SVC_max_iter,SVC_verbose,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed
random_under,minmax,0.7,sgd,27401686,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.1134173461823573,0.19086460032626426,0.1525151520994315,0.02842250007157273,0.164804469273743,0.5749279538904899,0.41168145617744134,0.17365972280306963,0.14399023794996949,0.2771417291748914,0.21767286123078092,0.056810349774304,0.6600892990961535,0.7636379623085267,0.7112816047599775,0.04015514572705885,0.10277646518885655,0.16772602898544547,0.13464673078721293,0.023357806943148714,0.7592150910667823,0.8483898854549384,0.7981084715834281,0.03458037729359633,9220.0,9350.0,1.4468987711010552,False,0.13658245578765127,invscaling,log,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,1.0,lr,10934319,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11633875106929,0.16558741905642924,0.13879608847962793,0.016582004529172304,0.6445497630331753,0.7737752161383286,0.701300998589338,0.04304753078443453,0.1971014492753623,0.27279654559309113,0.23161497256159289,0.025413273179275084,0.702320699995886,0.7799123835600532,0.7348488912996325,0.02920791861293019,0.12277769692590132,0.18232982574484874,0.14861630330279674,0.020972540625715266,0.636265398746488,0.6898830155979203,0.6592552202734494,0.018598238358325525,9220.0,9350.0,,,,,,,balanced,,20000,l2,saga,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.1,svm,16695422,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0784313725490196,0.6666666666666666,0.25230908152734777,0.21448549598853509,0.002881844380403458,0.9888268156424581,0.20564506123173323,0.39161532017995154,0.005738880918220946,0.1453351123883814,0.043816815447395546,0.05138424679852579,0.5032188696338391,0.6085884857835688,0.5755228401356636,0.03898002951814997,0.08147601311526334,0.1296166668486777,0.10482795808955694,0.01590811927269572,0.10017289820618111,0.928235294117647,0.7605237474575044,0.33018069642005493,9220.0,9350.0,,,,,,,,,,,,0.43,4,poly,25000,False,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.7,knn,4223972,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.20632333767926989,0.2539334065129894,0.23657757751677141,0.01731981777475899,1.0,1.0,1.0,0.0,0.34206971088894894,0.4050189670265538,0.38231224605661224,0.022888924143705813,0.9985338963171476,0.9998835177635411,0.9994387261159495,0.0004937315539998413,0.9826147426981919,0.9984399375975039,0.9932058194486476,0.005750961951879922,0.739572192513369,0.7788503253796095,0.7637932405041157,0.015439946415299317,7004.0,7642.0,,,,,,,,,,,,,,,,,minkowski,16,distance,,,,,,,,,,,,,,,,
smote,minmax,0.3,lr,32704669,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.05128205128205128,0.18181818181818182,0.11147051005207034,0.046470759801891956,0.002793296089385475,0.01729106628242075,0.011261692324408042,0.006785282008794422,0.005376344086021506,0.031578947368421054,0.02026168234916385,0.011962716888851954,0.6408235002657734,0.6943952210932915,0.6668911982132006,0.021373514325399755,0.1010465386334139,0.1347977100733809,0.11733809073491411,0.011431549129362065,0.9184358752166378,0.9285561497326204,0.9220237227859039,0.003570033985348754,9220.0,9350.0,,,,,,,,0.8260701237017706,20000,elasticnet,saga,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.5,knn,18966537,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.23774954627949182,0.27280898876404497,0.25647065201560826,0.014679217863055287,0.8278041074249605,0.8746397694524496,0.842348996210309,0.01804926147091404,0.3694043003172365,0.41589585474477564,0.3930138134028843,0.01805583502539304,0.8964618085954216,0.9200644280224094,0.9073940244525076,0.00792923635799568,0.41747767074260106,0.5068274149795572,0.45902084506244645,0.03198074300324547,0.8018154311649016,0.8202819956616052,0.8102301080640997,0.00673439425170959,20.0,20.0,,,,,,,,,,,,,,,,,euclidean,19,uniform,,,,,,,,,,,,,,,,
random_over,standard,0.7,lr,23594761,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.1170406306852638,0.18127053669222343,0.14503122427146434,0.02145358884961944,0.3048973143759874,0.4769452449567723,0.3807880330345822,0.06650229453305731,0.16914986853637162,0.2626984126984127,0.2099018841389281,0.03234080729407848,0.6639417471154263,0.7548321016807046,0.701595691828339,0.03297055792063922,0.11106561156434018,0.1652597532738832,0.13207421994970348,0.01916902254261804,0.7806941431670282,0.7987435008665511,0.7920118244256849,0.006434264500371502,9220.0,9350.0,,,,,,,,,20000,none,lbfgs,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.5,rf,10549076,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.5973904939422181,0.7151741293532339,0.6645192944209082,0.03892283542525844,0.8857589984350548,0.9236311239193083,0.9024830876730896,0.014376457881045534,0.7255234861346916,0.8002783576896312,0.7645426824474988,0.024068814969910386,0.9884778990016372,0.9919119020939454,0.9899459074332497,0.0011539411387379334,0.9153769026517953,0.9328821242734685,0.9236750687825215,0.006626542366171531,0.9474653379549394,0.9693048128342246,0.9590920158454346,0.0070415960230370694,8650.0,9100.0,,,,,,,,,,,,,,,,,,,,True,,gini,211,5,5,314,,,,,,,,,
random_over,standard,0.7,ridge,636557,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10362047440699126,0.13810420590081607,0.12256779139582046,0.013200405528733444,0.21927374301675978,0.3170028818443804,0.28267169558131827,0.03706567225489376,0.1483230987246103,0.1923917796239615,0.17074122677192854,0.01900500509314685,0.6402508145819549,0.6742634892796605,0.6590182693215316,0.014725278190004843,0.10023451214138722,0.12665057477849534,0.11417519274212977,0.009828692046008709,0.7964705882352942,0.8051653339096607,0.8005698899471827,0.003150006147427314,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1803123667310524,,,,,,,,
random_under_bootstrap,minmax,0.5,rf,5602565,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.26061370323665406,0.3480290456431535,0.3056156119894302,0.029601121232558033,0.9636871508379888,0.9812206572769953,0.9719058369506758,0.0070696298543574156,0.4116865869853918,0.5118230358504958,0.4641407273646589,0.03391710143812511,0.9467685378936886,0.9548831702043347,0.9506851099331562,0.0027584063579795767,0.5151274302148967,0.6013300185080199,0.5484026099997854,0.033602576833625525,0.8104812834224598,0.8613518197573656,0.8353383603424701,0.018462830838335796,9109.0,9333.0,,,,,,,,,,,,,,,,,,,,True,balanced_subsample,entropy,375,3,7,336,,,,,,,,,
