uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,RidgeClassifier_alpha,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators
random_over,standard,0.1,nb,32442344,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07894736842105263,0.21806451612903227,0.161190039433473,0.04545837399019663,0.04739336492890995,0.5288184438040345,0.37425377607355376,0.1764406345133939,0.05923000987166831,0.3012477718360071,0.218579918008234,0.08387713356300944,0.6991094918846271,0.7792779930103967,0.7400428742129039,0.02775339469188209,0.11234371690892563,0.20010146117357885,0.15693752929111465,0.02891945657588295,0.7710179381888913,0.8980748663101604,0.8238984235211669,0.045603756203343344,9182.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,minmax,0.5,ridge,29987018,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07567567567567568,0.18506493506493507,0.13815120566299896,0.03725534751993854,0.019553072625698324,0.08213256484149856,0.059251463280451735,0.02268643373763329,0.031076581576026635,0.11377245508982037,0.08243890177972983,0.029314782393017987,0.6393705821875542,0.672627305087343,0.6579400291974576,0.014602577556414836,0.10007693987211977,0.12673104706466526,0.11426258545623039,0.009922130928595901,0.9021691973969631,0.9120855614973262,0.9058604839755787,0.003367263162327442,9220.0,9350.0,0.6810455383630026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.3,sgd,12484144,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.18181818181818182,0.08796551429790866,0.06437266111353974,0.0,0.02190923317683881,0.008695758376871152,0.007893158192191378,0.0,0.03664921465968587,0.015350280461612093,0.01328224267546936,0.6135138235631524,0.7257122232521512,0.6683013121506028,0.03905967710671805,0.0952660287079968,0.13786666554883598,0.11993128449801231,0.01671766683885257,0.9188691507798961,0.9314438502673796,0.9225149361753802,0.004622246686434221,9220.0,9350.0,,0.22660145187252656,True,0.9587974067777987,adaptive,squared_epsilon_insensitive,l1,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.8,nb,11947520,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10136270300541347,0.1358933088066222,0.11874713753342345,0.0112484961247676,0.8482003129890454,0.8703170028818443,0.8556961789422518,0.007971982125810323,0.18130217028380635,0.2343842950624628,0.20834831826113356,0.01734645721766752,0.696299435596511,0.7753638927648763,0.7408850282469769,0.028762177688254748,0.11446070385626272,0.1897627814731664,0.15855894273772597,0.02756975237892119,0.47550802139037435,0.5817807625649913,0.5233600776964542,0.035068922827140976,9190.0,9313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.7,knn,6183350,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.5,0.5952380952380952,0.565266106442577,0.03394560441174164,0.004739336492890996,0.043227665706051875,0.021671198371152344,0.015648785241945507,0.009389671361502348,0.08053691275167786,0.041058002000228314,0.02900153691898093,0.8439513971084085,0.8898518945308412,0.8633586566989642,0.01700775589940828,0.2784324162881213,0.38776521530750513,0.3316518519788338,0.03820141108550173,0.9227361141128161,0.9322994652406417,0.9274966209365806,0.003600994747952054,9.0,11.0,,,,,,,,euclidean,15,uniform,,,,,,,,,,,,,,,,,,,,,,,,
random_over,minmax,0.3,svm,4420833,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07102272727272728,0.08641975308641975,0.07936017654719021,0.005454732039536342,0.2347417840375587,0.2559241706161137,0.24528676586673823,0.00786774560338767,0.10905125408942204,0.12872379551305627,0.11984676344359868,0.006780447312719444,0.4921367198857417,0.5226427414536177,0.5104659912814912,0.011243922170089462,0.06733489390392638,0.07965721009799867,0.0748740045626615,0.00456999852266234,0.7306109185441941,0.743058568329718,0.7371754964495564,0.0047755238404621645,9220.0,9350.0,,,,,,,,,,,1.89,sigmoid,25000,False,,,,,,,,,,,,,,,,,,,,
smote,standard,0.5,nb,7303836,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10445962233828847,0.14195663136661624,0.12042350518022746,0.012391643216486422,0.8112391930835735,0.8631284916201117,0.8367382406641832,0.021996340205811385,0.18535020495455357,0.24163090128755366,0.2102539973303788,0.018543395244381127,0.6997802228073523,0.7827747354934003,0.741025392151397,0.028652826409428907,0.11252784672727131,0.20703439221759326,0.16077380302159666,0.030887727817292873,0.47838772422736114,0.6172010398613518,0.5380838240556818,0.04669032077994227,9184.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.7,nb,25313627,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09161490683229814,0.1375996249413971,0.11456688536417788,0.015315254906905506,0.8075117370892019,0.9320695102685624,0.8844174649980932,0.049100937968020474,0.1668316131768698,0.23669354838709677,0.2021868238527623,0.023024327906426736,0.701204144142087,0.7800942286830261,0.7421418678966835,0.0280559726028917,0.11296768041886061,0.2005868107673573,0.15866223855727793,0.02925599766944958,0.36973262032085563,0.5899046793760832,0.480715723366098,0.09210392481806959,9193.0,9337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.1,knn,19666103,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,minkowski,4,distance,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.7,lr,122278,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10709643878346764,0.1555354993983153,0.12786457375400723,0.015683311795276274,0.65086887835703,0.7449567723342939,0.690384901554423,0.03049380254147283,0.1839285714285714,0.2573419611747138,0.2155944415812323,0.02372849422416942,0.6739796846434801,0.7630989244219603,0.7105955345812618,0.03203739564046316,0.11522308841215985,0.16607203400658188,0.1349532070064927,0.018499247765691892,0.5961746271882429,0.6767764298093587,0.6311897244053433,0.02875886285735034,9220.0,9350.0,,,,,,,,,,,,,,,balanced,0.9225873373541604,20000,elasticnet,saga,,,,,,,,,,,,,,,
