uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_degree,SVC_kernel,SVC_max_iter,SVC_verbose,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,RidgeClassifier_alpha
random_under,minmax,0.7,svm,3622378,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.18646616541353384,0.24015748031496062,0.21872240809309645,0.019657825339986317,0.19248826291079812,0.515850144092219,0.3011817139330141,0.1197857162302296,0.19106317411402157,0.32412856496152104,0.24613243682821037,0.04660122567418486,0.7307157610530601,0.8065191518777217,0.7640716427442716,0.02801501526285736,0.14576674043378784,0.23129478667228232,0.19288649129493537,0.028384680536078448,0.8382798960138648,0.897441457068517,0.8709126135143913,0.02294772715277433,9220.0,9350.0,0.49,2,poly,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,1.0,svm,10908136,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09049079754601227,0.10938157341186369,0.10339848978643866,0.007026805782765789,0.7370892018779343,0.7723342939481268,0.7494750805444693,0.012101984468070771,0.16139511027526074,0.19089574155653452,0.1816437290657153,0.011054040930741544,0.6394265821484086,0.6751630108624403,0.6615613763776377,0.01409372578725275,0.10503452404497587,0.1281874249766814,0.11710423429768349,0.009619103975183695,0.4754010695187166,0.5291630529054641,0.5067587717424283,0.018874112487689068,9220.0,9350.0,0.01,,sigmoid,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,standard,0.7,xgb,26922163,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.19234275296262535,0.2748514851485149,0.2287363335054687,0.031606070795743506,1.0,1.0,1.0,0.0,0.3226299694189602,0.43118981050015537,0.3712416828229408,0.04159616185978043,0.9691014006123067,0.9765593613042449,0.9727569916468191,0.0026941440148126926,0.5302960082102891,0.6281574646359044,0.5866110891480002,0.034093901641332344,0.7157219251336898,0.8016681109185442,0.7496909201097698,0.03459145278635048,9207.0,9335.0,,,,,,0,0.3,error,3,42,binary:logistic,13,17385,,,,,,,,,,,,,,,,,,,,,,
,minmax,1.0,rf,30781835,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.6295264623955432,0.8153446033810143,0.7193824696398738,0.06888865501120438,0.9755043227665706,0.990521327014218,0.9819003224503666,0.005984041477311399,0.7656691134952005,0.8944365192582026,0.8287023786280902,0.047748034518337666,0.9910095311104666,0.997032908222951,0.9937548581804189,0.002252076404765571,0.8977105941643304,0.9432302084365487,0.9169857837587244,0.017209863942519728,0.9550476603119584,0.9841711229946524,0.969578001404359,0.010754565874609668,6567.0,7402.0,,,,,,,,,,,,,,True,balanced,entropy,340,5,2,115,,,,,,,,,,,,,,,
random_under,minmax,0.5,lr,22078734,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11259178678270329,0.16216216216216217,0.13278097839628403,0.01697810254040776,0.6540284360189573,0.7521613832853026,0.6907427631177568,0.03354613070370248,0.19211136890951275,0.2668029644773831,0.22255305240560289,0.02551566449955743,0.6818485482581321,0.7759018336739026,0.7211950377562735,0.03288774922949556,0.11963632801554937,0.1777590593437411,0.14156771178382846,0.021420473420939043,0.6081694402420574,0.6892331022530329,0.6456804715843009,0.027285263868609775,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,balanced,,20000,none,lbfgs,,,,,,,,,,
random_under,standard,0.1,lr,13768148,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10967741935483871,0.15825332920408794,0.13086907332748426,0.016202390189279766,0.6445497630331753,0.7363112391930836,0.6825352952509804,0.03111262238197801,0.18745692625775331,0.26051491205709915,0.21944590736210307,0.024354641698043324,0.6756598172350753,0.7666647764899823,0.7160003533293285,0.03248240102767554,0.11695894038975489,0.171528347653346,0.13848031769597247,0.02012774110605121,0.6055759671493408,0.6857668977469671,0.6435299904969569,0.027894101632415017,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,balanced,,20000,l2,lbfgs,,,,,,,,,,
random_over,standard,0.1,sgd,2125881,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.1138231029482842,0.07372400315032049,0.038734330896124845,0.0,0.7430167597765364,0.5645266851353885,0.28661455894295257,0.0,0.19719489219175212,0.1302466213895211,0.0679107380969143,0.4860531711442403,0.7198593098746495,0.5790473362459123,0.08564594806354055,0.06649856400342874,0.5375866551126517,0.18417062898185474,0.17797591298279114,0.3694618543332613,0.9248266897746967,0.5583304419979371,0.1964296844440432,1.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.4007226410485814,False,0.47615128191403,invscaling,modified_huber,l1,,,,
random_over,standard,0.3,nb,253600,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.11532663316582914,0.1548329355608592,0.13141219272820837,0.013353709485015975,0.7230046948356808,0.8226256983240223,0.7656771528360189,0.0423650034816311,0.19900281812269674,0.25654967869500744,0.22396847825738248,0.019322419822677638,0.6975076030367564,0.7794312323344423,0.7389909165130861,0.02825792704537348,0.11132176487207418,0.1988815815597374,0.155469292653107,0.02889047456476308,0.5364166846768965,0.6741767764298093,0.6100106594985955,0.04599528288064281,9180.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.7,knn,18150744,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.21050881277020286,0.25263924281033856,0.23649458546602964,0.015645022167281145,1.0,1.0,1.0,0.0,0.3478021978021978,0.4033711130485324,0.382263531176375,0.020607328508460972,0.9995308468214873,1.0,0.9998476717614058,0.00018019371786382452,0.9943019943019943,1.0,0.9981485933048433,0.0021750924635686856,0.746096256684492,0.7776213171577123,0.7639489093974503,0.012859832055619453,7220.0,7745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,20,distance,
smote,standard,0.8,xgb,11087327,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.9928469241773963,0.9968798751950078,0.9953066391598459,0.0013378071574719362,1.0,1.0,1.0,0.0,0.9964106245513281,0.9984375,0.997647348848018,0.0006724610432847549,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9994584055459272,0.9997831743278404,0.9996542321025321,0.00010627916124655036,9215.0,9346.0,,,,,,1.5,0.3,error,0.5,36,binary:logistic,13,26014,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.3,sgd,33398515,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09436325678496868,0.1213571117877338,0.10813829167278752,0.008550725600053108,0.7140600315955766,0.8040345821325648,0.7525833436164995,0.032929833224576516,0.16669739996312002,0.21088435374149658,0.18905952436079806,0.014015712177126907,0.6475562421563277,0.7136981441840275,0.6759444899834215,0.026117793811470447,0.10184294098964958,0.13847491813509002,0.12033205880497802,0.013003622401566406,0.5041214750542299,0.5606027753686036,0.5282992225858232,0.021862124038761938,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.7263967091762353,False,0.024632411193624915,invscaling,log,l2,,,,
,minmax,1.0,ridge,6890035,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6374102210983568,0.6701786334391516,0.6557883671845696,0.014883048776369371,0.10016548560082311,0.12729795350653894,0.11498569479857945,0.010173290683520827,0.9226280527339529,0.9322994652406417,0.9269330946950161,0.0037650229834366076,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7270045700205268
smote,minmax,1.0,svm,19703191,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07572992700729927,0.08564173591874423,0.08132406871608686,0.003995564402026733,0.5181564245810056,0.5345821325648416,0.5270168122304127,0.006969133549639344,0.13219191718096757,0.1476323119777159,0.14086879844491887,0.006086909080279233,0.5286694866669766,0.5549720434730585,0.5436800548463603,0.009018267544708579,0.07879323456154962,0.09659932638722254,0.08759088684308725,0.006253028536526973,0.5193429868165118,0.5379679144385027,0.5311901638426639,0.0069218694659508705,9220.0,9350.0,0.57,,sigmoid,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.5,ridge,16450544,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07894736842105263,0.21548821548821548,0.15676794484973486,0.04480444619812334,0.025139664804469275,0.1267605633802817,0.07640942861267076,0.03366684525202382,0.03813559322033898,0.14848762603116406,0.10126568110978887,0.03799731779671653,0.6280759881410569,0.7193058825352294,0.6710226004394915,0.035950629722685666,0.09942729341773415,0.14239895020091964,0.12070469939744302,0.016259134789997784,0.8992844752818734,0.9097326203208557,0.9042428512533341,0.003624734058284609,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30754039110316433
random_over,standard,1.0,rf,12159093,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.895483870967742,0.9693721286370597,0.9365714723691376,0.028328402142169452,1.0,1.0,1.0,0.0,0.944860449285228,0.984447900466563,0.9670250978575041,0.015170147187858495,0.9999969579404852,1.0,0.9999988229700012,1.191426208597414e-06,0.9999633560884306,1.0,0.9999857972259847,1.4392619428903183e-05,0.9912147505422993,0.9978609625668449,0.9949345694200205,0.002514113452912233,5442.0,6436.0,,,,,,,,,,,,,,False,balanced,gini,218,5,2,374,,,,,,,,,,,,,,,
