uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_degree,SVC_kernel,SVC_max_iter,SVC_verbose,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,RidgeClassifier_alpha,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights
,minmax,1.0,svm,4604013,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.5,0.24285714285714288,0.18494345523065436,0.0,0.012968299711815562,0.007492295235828976,0.004241915463862567,0.0,0.024456521739130436,0.014330195896053808,0.008051798797120233,0.5781486702908971,0.627622846813375,0.6022977768642632,0.019873698014283292,0.08312551048086925,0.11689553945763605,0.10546997004069811,0.011624202578845173,0.9222270363951474,0.9303989592367736,0.9255576332615718,0.00319949190060641,9220.0,9350.0,2.81,3,poly,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.8,xgb,7996987,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.3916849015317287,0.4802768166089965,0.43940628054121034,0.03183609192467296,1.0,1.0,1.0,0.0,0.5628930817610063,0.648901355773726,0.6098551956004906,0.030886965340483418,0.9992114305724278,0.999925695844821,0.9994975607258738,0.0002464639542195065,0.9895359039774517,0.9989063550424779,0.9933928106312366,0.0031445911622362535,0.8798357467041279,0.9186525129982669,0.906043564632062,0.013698265106384501,9217.0,9349.0,,,,,,0,0.1,error,0.5,11,binary:logistic,19,41165,,,,,,,,,,,,,,,,,,,,,,
smote,standard,0.1,rf,20868424,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.963276836158192,0.9925093632958801,0.9751528096592381,0.010505242491342994,0.37011173184357543,0.5605187319884726,0.4475740474528698,0.06976684291936504,0.5391658189216684,0.7092069279854147,0.6100054875077646,0.062350231047189966,0.9908055441196653,0.9945801461834578,0.9928317346319414,0.0015263488833432237,0.905213954723165,0.940531672478858,0.9213118355520329,0.01246193993190675,0.951048195374973,0.965446273830156,0.9588867148657361,0.004632412994305025,6178.0,7151.0,,,,,,,,,,,,,,False,,gini,481,7,9,101,,,,,,,,,,,,,,,
random_under,standard,0.8,lr,7390814,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10437017994858612,0.15732758620689655,0.1344251408729864,0.018837722426777326,0.641390205371248,0.7363112391930836,0.6887153121623041,0.03242321606648131,0.17952686270174661,0.25925925925925924,0.22466400845789253,0.02821729536303914,0.6691663671846754,0.7687648977988217,0.7229525353760529,0.03754794403943236,0.11059401327904222,0.17303949564793725,0.1424577092108143,0.022955490249426894,0.6031016042780749,0.6837088388214905,0.6499696835878582,0.03200490965756188,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,balanced,0.6953084104195736,20000,elasticnet,saga,,,,,,,,,,
random_under,minmax,0.8,ridge,13057464,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.10346464167062173,0.19191402251791198,0.14626278517589347,0.028671317487345534,0.344391785150079,0.5403458213256485,0.42939141003576103,0.07216921601891241,0.15912408759124086,0.28323262839879154,0.21797553008522144,0.04089403775526587,0.6525956344315307,0.7521022321280693,0.7032667783671612,0.034704146230313176,0.10272640983969979,0.16658563985268038,0.13386728385449248,0.021285690949120868,0.7535828877005347,0.7941431670281995,0.7745857927526184,0.01308931371189053,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.214998986597965,,,,,,,,,
adasyn,minmax,0.3,rf,8799181,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.9293078055964654,0.9767054908485857,0.9567003378225134,0.01880671835400485,0.8980446927374302,0.9273301737756714,0.9144559856011956,0.010230975475669195,0.9191551347414421,0.9513776337115073,0.9349784208336361,0.010365905024050033,0.9981382595769104,0.9993461234344251,0.9986937879022498,0.00042513522591246066,0.9809754727614519,0.9921739949123565,0.9864474327298165,0.003717382757814342,0.9879609544468546,0.9935828877005347,0.9906576404955546,0.0018652131549306485,6686.0,7722.0,,,,,,,,,,,,,,True,,gini,494,2,7,173,,,,,,,,,,,,,,,
random_over,minmax,0.1,nb,18503592,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07894736842105263,0.21806451612903227,0.161190039433473,0.04545837399019663,0.04739336492890995,0.5288184438040345,0.37425377607355376,0.1764406345133939,0.05923000987166831,0.3012477718360071,0.218579918008234,0.08387713356300944,0.6991091294253335,0.7792783305419474,0.7400427689099859,0.02775356640002104,0.11234367271204478,0.20010157862522537,0.15693752659576637,0.028919494524665874,0.7710179381888913,0.8980748663101604,0.8238984235211669,0.045603756203343344,9182.0,9338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.8,sgd,1231339,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.004268943436499467,0.0833160621761658,0.05606690972463927,0.029946724308211582,0.005763688760806916,0.9953051643192489,0.5480760587063945,0.40112743843244586,0.004904966278356837,0.14802211824755424,0.09993018788897567,0.05598760130082095,0.32706263465338437,0.560366668367901,0.4641475999925265,0.08751909117403145,0.050716076646263694,0.09297955870155795,0.06948905519941864,0.016468502173876694,0.10852124891587164,0.8239696312364425,0.44039376946451886,0.2813097878906611,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.775913390816318,True,0.9784982159177624,constant,squared_loss,l2,,,
smote,standard,0.7,svm,18569414,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.16884661117717004,0.22851063829787235,0.19698204549328588,0.022270931274917666,0.6697965571205008,0.7737752161383286,0.7079153781952343,0.03808537555212763,0.26996197718631176,0.3528252299605782,0.3079796588653186,0.030681634158123014,0.8042194248822143,0.8516131982937106,0.8237252922588058,0.018459625363558795,0.20220561267872134,0.26050940138929907,0.23669548984983807,0.022033472522396347,0.7441106548519559,0.7866117850953206,0.7670547223674256,0.01637934455321473,9206.0,9336.0,2.03,,rbf,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.5,xgb,22184712,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.689175769612711,0.7600849256900213,0.7299263150313267,0.024587194534692283,1.0,1.0,1.0,0.0,0.8159905937683716,0.8636911942098915,0.8436463053053135,0.016542005539337285,0.9999993249368985,1.0,0.9999997973860572,2.7007280948943285e-07,0.9999916829628238,1.0,0.9999975078805964,3.3253240426118398e-06,0.9660961871750433,0.9774331550802139,0.9728693425196674,0.003895826456233583,9216.0,9342.0,,,,,,1,0.1,error,1.5,35,binary:logistic,47,12584,,,,,,,,,,,,,,,,,,,,,,
