uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_degree
smote,minmax,0.5,svm,9811435,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0796189179993195,0.09218366631615843,0.08559242745464271,0.0048622439101254555,0.36033519553072624,0.37896253602305474,0.3700439000945211,0.00644537905594175,0.13079932923420906,0.1482943332393572,0.1389658066600845,0.0065921505811148105,0.5054508764878145,0.5365227576410497,0.5221927531845021,0.011546371062321637,0.07121277013224611,0.08411166432058276,0.07897514360299562,0.004397903815698515,0.6566889993516317,0.6723427331887202,0.6655350329156562,0.005350328875236258,9220.0,9350.0,1.31,sigmoid,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.7,svm,24004803,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.07771301693033583,0.0960352422907489,0.0860751711874004,0.006360167375913261,0.4301675977653631,0.4711815561959654,0.4487600261754112,0.014022823883929685,0.132013201320132,0.1595511100268358,0.14438533518366123,0.009510175404756118,0.5201445787547225,0.5585310841021294,0.5370035962137997,0.013970943006253487,0.07661400672327448,0.09413071153064245,0.08440901641251981,0.0061371632648322206,0.5988761616598228,0.6263557483731019,0.6117225690670051,0.010521590211934263,9220.0,9350.0,1.61,sigmoid,25000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.8,ridge,597198,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.09844559585492228,0.12596401028277635,0.1155705939261441,0.010143450521485374,0.32821229050279327,0.4272300469483568,0.39829380686951804,0.037489105189453927,0.15722469764481223,0.19418758256274768,0.17888119105679928,0.014773684559870326,0.640312795121153,0.6743158066700286,0.6591006355139052,0.014823799060908078,0.10045292517145785,0.12522420989752275,0.11348258512437075,0.009550200385136069,0.7167914438502674,0.7450832072617246,0.7338114417545681,0.00928912663452695,9220.0,9350.0,,,,,4.3975751640307825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,1.0,xgb,29209865,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9132.0,9283.0,,,,,,1,0.7,error,1.5,41,binary:logistic,94,19702,,,,,,,,,,,,,,,,,,,,,,
,minmax,0.1,knn,23585256,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,,,,,,,minkowski,23,distance,,,,,,,,,,,,,,,,,,,
smote,standard,0.7,knn,3611799,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,,,,,,,chebyshev,17,distance,,,,,,,,,,,,,,,,,,,
random_over,minmax,0.7,lr,22419847,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.1211139896373057,0.18696883852691218,0.14988645366648795,0.0221539012653046,0.29541864139020535,0.4755043227665706,0.3750750066807967,0.06939969505446068,0.17179604960955444,0.2684017893452623,0.21399165487821775,0.03368233691292482,0.6665168271715931,0.7593806768587693,0.7051757468471478,0.03352849925393699,0.11223064449830375,0.16814013694797486,0.13386518073388673,0.019799117897500627,0.7902386117136659,0.8071657754010695,0.8003915122005114,0.005907780335069515,9220.0,9350.0,,,,,,,,,,,,,,,,,,,20000,l2,lbfgs,,,,,,,,,,,,,,
adasyn,minmax,0.3,ridge,6647663,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.0,0.14634146341463414,0.09539306407085611,0.058917555390553746,0.0,0.012519561815336464,0.005953270790449644,0.004650474180937485,0.0,0.023021582733812947,0.011149818468461501,0.008596514898897066,0.6364718818662803,0.6705335968779681,0.6554636952633555,0.015264268178989022,0.10016674219981134,0.1261473788948814,0.11359729200700992,0.009956716810366464,0.9207910092932786,0.9299465240641711,0.924122218687965,0.0035065763756393356,9220.0,9350.0,,,,,1.2786201943875508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.5,sgd,12739436,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.04883812524615991,0.10746812386156648,0.08785750503307148,0.020419888672865472,0.09320695102685624,0.5242566510172144,0.29997590428336535,0.15246461500733488,0.0767089390658831,0.16766766766766766,0.12690427653590458,0.03360799743290251,0.4633977411038497,0.6300102521611183,0.5768765217647698,0.060180710161246584,0.0638324591593426,0.09558096146531744,0.08638606013450478,0.011684991760713312,0.6394189071986123,0.8862032085561498,0.714244886412237,0.08898328173826045,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,0.0,True,0.7994608126205506,optimal,squared_hinge,elasticnet,,,,,,,,
smote,standard,0.7,rf,24069445,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.4040955631399317,0.41499676793794443,0.4085111956114358,0.00423081346814024,0.9250720461095101,0.9374021909233177,0.9326058808339205,0.004452088565105041,0.5643469971401335,0.5729585006693441,0.5681269225169892,0.003367968386356701,0.9746923382943946,0.980352893992799,0.9768891626759084,0.0018840851271600659,0.8333409147894916,0.8654120534537221,0.8501163068869936,0.011095640769437285,0.8915727902946274,0.9022459893048128,0.8965962177730287,0.004529646836160844,9015.0,9247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,balanced_subsample,entropy,411,9,3,460,
